z=   7.0300001e-01 0.
Total_Energy(erg)    3.0937266649180492e+06    2.7728617257276822e+07
       26713980.       27956413.   3.3233466722898726e+09       24438654.   2.7868749047948480e+07
       27937672.       27956413.   1.9675706457671840e+09       15718139.   2.7946039934277929e+07
       27955273.       27956413.                     -NaN       27959535.   2.7956412603657458e+07
   1.9080473e+09       28014202.   2.7956865362351138e+07       27957524.   2.7956412603657458e+07
            -NaN       28841440.   2.7957233615943670e+07       27956510.   2.7956412603657458e+07
            -NaN       27956413.                     -NaN       26494490.   2.7923244020934712e+07
       27947200.       27956413.   1.3702375242082605e+09       21967959.   2.7950878190188091e+07
       27955792.       27956413.                     -NaN       27956413.   2.7956412603657458e+07
       27956413.       27956413.   2.7956412603657458e+07       27956413.   2.7956412603657458e+07
       27956413.       27956413.   2.7956412603657458e+07       27956413.   3.3278793520346770e+09
   1.4565930e+08   3.9811370e+08   2.7956412603657458e+07            -NaN   1.1314424968554468e+10
   3.4495625e+08   1.2139867e+08   2.7956412603657458e+07            -NaN   2.7686137875117999e+07
       27631540.       27956413.   6.5858356052385845e+09            -NaN   2.7791449946083710e+07
       27940182.       27956413.                     -NaN       27958132.   2.7956412603657458e+07
   4.7686124e+08       29857777.   2.7958016085640766e+07       27956614.   2.7956412603657458e+07
            -NaN       27956413.   8.9658004400098813e+08       19246629.   2.7948345795979220e+07
       27955556.       27956413.                     -NaN       27956413.   2.7956412603657458e+07
       27956413.       27956413.   2.7956412603657458e+07       27956413.   2.5619017296045155e+10
   7.8271223e+08   2.6724651e+08   2.7956412603657458e+07            -NaN   1.9512282855905320e+07
       26649887.       27956413.   1.2496903836356014e+10       27955647.   2.7956412603657458e+07
   2.2621019e+08       27956413.   1.0637668716465874e+08       27956413.
Total_Energy_common(erg)    4.1233986933810828e+05    3.0260182576666088e+06
T_min_T_max    1.7557251814992924e+01    9.5791074064675209e+04
