time	flux	flux_err1	band
96.00	1.9844825677551808e-11	2.400777064400097e-12	R
115.00	1.2292700152414005e-10	1.684363626748954e-11	R
120.00	1.561878649675033e-10	2.015392138783124e-11	R
126.00	2.021376853258948e-10	1.6080139432497478e-11	R
131.00	1.9662887222146574e-10	2.3787666079734614e-11	R
155.00	9.945973283147633e-11	1.2833926868500973e-11	R
173.00	6.04849447526509e-11	6.328856374913491e-12	R
179.00	5.7233102428115203e-11	4.065474061263022e-12	R
184.00	4.89381207614008e-11	5.120651739431385e-12	R
190.00	4.760442110751453e-11	4.586711026854168e-12	R
261.00	2.2163956457869588e-11	2.5010692357230173e-12	R
304.00	1.6204934810973137e-11	2.0910266130036984e-12	R
362.00	1.1314810590979624e-11	2.8103399093196875e-12	R
376.00	9.239474863855438e-12	1.6946825694202585e-12	R
752.00	4.716798115145289e-12	1.6573204415666246e-12	R
68.26	3.5127503708081986e-12	4.532726972295339e-13	R
94.18	1.141950524435721e-11	4.1305465441958966e-13	R
112.32	1.3856300341329388e-10	1.2703532511168372e-12	R
139.97	1.1006450589937619e-10	1.0090774554356757e-12	R
167.62	5.7233102428115203e-11	5.247162370189016e-13	R
192.67	3.887293107512724e-11	7.09510952963446e-13	R
229.82	2.4983155338095354e-11	2.2904694489218514e-13	R
279.94	1.7125658843902338e-11	1.5700898402857518e-13	R
335.23	1.141950524435721e-11	2.0842946040359419e-13	R
385.34	8.662580596297555e-12	1.5810991463760108e-13	R
455.33	6.451300746600396e-12	1.177495088221689e-13	R
550.37	4.673554250095951e-12	8.530197847193591e-14	R
7152.19	2.2784908469655415e-13	2.940082792103609e-14	R
8417.09	2.1759418661697925e-13	2.9815071447723425e-14	R
9751.97	2.3208511544792315e-13	2.994743012202836e-14	R
11093.76	1.7284120614173114e-13	2.77479295639973e-14	R
12351.74	2.299573463199285e-13	2.5949304019908304e-14	R
14328.58	2.0400804230001977e-13	1.795049640662319e-14	R
17005.25	1.9303999084176332e-13	1.5356413940226e-14	R
19535.90	1.5909161417445817e-13	1.664658834823831e-14	R
22239.36	1.1957689945983385e-13	1.6384600417509424e-14	R
24875.42	1.0414712562935409e-13	1.259945713793678e-14	R
27325.73	9.498330746173279e-14	1.3014750726303001e-14	R
79545.02	2.9488133789246675e-14	9.45968620048884e-15	R
103998.82	2.7646953895944943e-14	8.86904237901936e-15	R
