time(s)	erg/cm2/s	err
12.63719811	8.69E-13	0
22.9582538	9.62E-13	2.25E-13
32.91121255	8.61E-13	0
34.58677069	1.24E-12	2.09E-13
42.69924475	1.88E-12	2.43E-13
50.15201262	1.90E-12	3.20E-13
55.04961408	1.67E-12	0
63.45130716	1.31E-11	2.97E-13
65.27745041	1.23E-11	4.46E-13
73.87036269	1.49E-11	3.25E-13
84.28702797	8.77E-12	2.63E-13
90.73350486	1.33E-11	2.42E-13
94.69652253	1.76E-11	3.53E-13
105.1084073	2.01E-11	3.66E-13
115.3529754	2.48E-11	2.39E-12
118.0706781	2.74E-11	4.75E-13
125.922616	2.40E-11	4.16E-13
136.3560129	2.48E-11	4.53E-13
143.2948792	2.44E-11	4.45E-13
146.760727	2.53E-11	4.40E-13
157.1654411	2.43E-11	4.21E-13
168.4832268	2.14E-11	3.91E-13
173.1728774	2.08E-11	1.91E-13
178.8855507	1.99E-11	3.62E-13
189.2902648	1.89E-11	3.62E-13
196.9796664	1.82E-11	2.20E-12
199.6925886	1.85E-11	3.71E-13
214.6554901	1.74E-11	3.42E-13
224.6347415	1.67E-11	4.55E-13
225.5478131	1.70E-11	3.01E-13
236.2130633	1.69E-11	2.99E-13
246.5675824	1.61E-11	3.16E-13
252.5766454	1.50E-11	1.37E-13
257.3738568	1.56E-11	3.35E-13
268.6557889	1.48E-11	3.48E-13
278.5872355	1.46E-11	2.58E-13
281.3551332	1.32E-11	2.31E-12
289.8404847	1.36E-11	2.40E-13
300.55593	1.34E-11	2.90E-13
310.6379617	1.25E-11	2.45E-13
317.0414142	1.20E-11	2.19E-13
322.1230642	1.19E-11	2.34E-13
331.8322184	1.11E-11	2.39E-13
344.0989294	1.08E-11	2.33E-13
354.4725703	1.03E-11	2.21E-13
360.7589012	9.80E-12	1.79E-13
365.1593327	1.02E-11	2.79E-13
376.1663873	1.10E-11	2.80E-13
384.9576894	1.00E-11	2.75E-13
397.8721554	9.33E-12	2.37E-13
404.7393145	9.10E-12	1.03E-12
408.5158934	8.51E-12	2.00E-13
419.44407	8.51E-12	2.33E-13
430.6662462	8.68E-12	2.37E-13
442.1872023	7.35E-12	2.01E-13
448.1699726	7.57E-12	2.74E-13
452.5202091	7.52E-12	2.06E-13
463.0946303	7.30E-12	2.14E-13
473.9176363	7.49E-12	2.34E-13
484.9916176	7.29E-12	1.99E-13
492.7001411	6.72E-12	1.83E-13
496.3261349	7.51E-12	2.49E-13
497.8869616	7.78E-12	6.85E-13
509.6039173	7.27E-12	2.13E-13
519.7935098	6.83E-12	2.26E-13
535.4639223	6.64E-12	1.43E-13
537.254212	6.18E-12	1.13E-13
557.0932028	6.16E-12	1.57E-13
577.6875093	5.99E-12	1.75E-13
599.0419122	5.79E-12	1.58E-13
621.1874844	5.77E-12	1.80E-13
625.7886962	5.33E-12	1.93E-13
642.0279857	5.20E-12	1.62E-13
663.5688273	5.29E-12	1.65E-13
671.1554486	4.91E-12	8.96E-14
685.8315213	5.01E-12	1.66E-13
706.507096	5.20E-12	1.62E-13
716.522201	4.56E-12	8.32E-14
727.8041331	4.52E-12	1.50E-13
749.7441447	4.34E-12	1.68E-13
772.3462528	4.94E-12	1.73E-13
793.0074861	4.36E-12	1.53E-13
805.3196116	4.16E-12	1.87E-13
816.9122749	4.06E-12	1.42E-13
836.0031206	4.42E-12	1.55E-13
858.3662047	4.15E-12	1.77E-13
881.3292389	4.28E-12	1.58E-13
901.9259358	4.07E-12	1.58E-13
926.0530168	4.15E-12	1.61E-13
947.6942485	4.06E-12	1.73E-13
951.6739978	3.46E-12	6.31E-14
966.6464603	3.50E-12	1.63E-13
989.2342269	3.45E-12	1.60E-13
1012.352627	3.84E-12	1.57E-13
1032.595568	3.46E-12	1.48E-13
1056.72743	3.28E-12	1.83E-13
1074.307644	3.68E-12	1.50E-13
1083.902067	2.96E-12	8.06E-14
1099.412333	3.22E-12	1.50E-13
1140.055971	3.26E-12	1.57E-13
1162.851689	2.82E-12	1.41E-13
1296.107561	3.07E-12	3.46E-13
1297.065338	2.88E-12	6.73E-13
1492.250643	2.24E-12	1.01E-13
1493.355482	2.48E-12	1.58E-13
1628.064072	2.08E-12	7.54E-14
1629.291251	2.19E-12	8.06E-14
1658.228899	2.08E-12	2.35E-13
1684.579181	2.43E-12	3.58E-13
1765.574571	1.90E-12	8.56E-14
1766.888151	1.99E-12	2.12E-13
1905.833845	1.73E-12	9.32E-14
1907.253599	1.93E-12	1.37E-13
1942.069881	1.76E-12	3.22E-14
1943.521595	1.67E-12	1.89E-13
2001.825878	1.68E-12	3.06E-14
2044.993609	1.80E-12	6.51E-14
2046.511628	1.89E-12	6.96E-14
2051.621745	1.59E-12	8.54E-14
2053.156146	1.85E-12	3.66E-13
2084.456469	1.92E-12	1.69E-13
2086.018826	1.82E-12	2.71E-13
2183.579716	1.58E-12	5.72E-14
2185.215947	1.65E-12	1.71E-13
2191.061167	1.73E-12	1.38E-13
2192.69103	1.82E-12	1.51E-13
2240.395717	1.59E-12	1.53E-13
2242.081949	1.49E-12	2.34E-13
2323.002407	1.39E-12	7.47E-14
2324.750831	1.55E-12	1.11E-13
2463.835339	1.48E-12	5.36E-14
2465.669989	1.56E-12	5.73E-14
2604.35754	1.57E-12	7.05E-14
2606.312292	1.63E-12	1.76E-13
2843.118599	1.43E-12	1.26E-13
2845.238095	1.33E-12	2.00E-13
2858.327695	1.35E-12	2.46E-14
2860.465116	1.53E-12	2.92E-13
2887.385841	1.28E-12	4.63E-14
2890.365449	1.34E-12	4.95E-14
2961.507179	1.18E-12	6.33E-14
3007.997344	1.35E-12	1.85E-13
3021.358785	1.36E-12	1.20E-13
3023.615725	1.26E-12	1.90E-13
3030.393892	1.42E-12	3.86E-14
3031.561462	1.47E-12	1.49E-13
3293.631007	1.33E-12	1.17E-13
3296.096346	1.24E-12	1.87E-13
3416.871774	1.36E-12	4.94E-14
3419.158361	1.43E-12	5.28E-14
3478.850693	1.27E-12	1.33E-13
3482.834994	1.20E-12	2.87E-13
3659.146485	1.28E-12	1.13E-13
3661.877076	1.18E-12	1.78E-13
3753.560959	1.24E-12	4.50E-14
3756.921373	1.29E-12	1.36E-13
3925.084571	1.14E-12	9.99E-14
3928.017719	1.04E-12	1.57E-13
4051.791186	1.15E-12	4.14E-14
4055.924695	1.20E-12	4.43E-14
4125.386671	1.10E-12	5.94E-14
4127.906977	1.24E-12	8.90E-14
4165.829529	1.06E-12	9.35E-14
4168.936877	9.67E-13	1.47E-13
4200.081667	1.04E-12	3.74E-14
4202.657807	1.07E-12	1.13E-13
4461.184939	1.16E-12	1.75E-13
4498.574819	1.10E-12	3.99E-14
4501.66113	1.16E-12	4.27E-14
4609.242925	1.03E-12	8.16E-14
4612.403101	9.74E-13	2.24E-13
4647.96481	1.01E-12	4.53E-14
4651.162791	1.04E-12	1.14E-13
4743.826135	1.18E-12	1.78E-13
4952.266246	1.08E-12	3.92E-14
4954.568106	1.28E-12	1.92E-13
4955.703212	1.14E-12	4.19E-14
5056.83924	8.93E-13	7.11E-14
5060.908084	1.01E-12	9.48E-14
5103.87916	9.98E-13	3.61E-14
5107.973422	1.03E-12	1.09E-13
5438.345423	9.62E-13	4.33E-14
5442.967885	1.01E-12	4.65E-14
6119.601329	6.95E-13	1.39E-13
6210.464603	8.38E-13	1.01E-13
6461.678812	8.93E-13	1.15E-13
7811.710183	6.65E-13	6.41E-14
7818.383167	6.34E-13	1.54E-13
9412.955764	6.41E-13	7.76E-14
