time	flux	flux_err	band
35.0	2.5447626873802214e-11	0.0	R
43.8	2.3208511544792315e-11	3.904512460615984e-12	R
49.8	4.422290707099831e-11	3.891136474418754e-12	R
55.8	5.316762836685218e-11	4.678174993436254e-12	R
61.8	5.316762836685218e-11	4.678174993436254e-12	R
67.8	4.848945337341593e-11	4.266546302417618e-12	R
73.8	4.0331770596579556e-11	3.5487586420829598e-12	R
79.3	4.0331770596579556e-11	3.5487586420829598e-12	R
86.3	3.0594776735786653e-11	2.6920087250752133e-12	R
91.8	2.790276801071144e-11	2.4551411369092257e-12	R
97.8	2.3208511544792315e-11	2.0420974506249552e-12	R
100.0	9.239474863855438e-12	0.0	R
117.6	2.116641409416736e-11	3.560957686481958e-12	R
169.6	1.3355104429023967e-11	2.2468124056689874e-12	R
196.6	7.685060455768751e-12	1.8553459312790204e-12	R
