Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
         1833.0            -9.0            -9.0    -9.000   259.000 KS   14.290   0.0300  -9.0000  -9.0000  -9.0000 PAIRITEL GCN7406 0 NNN  0.000  0.000 0 nnn
         2146.0            -9.0            -9.0     0.001    -9.000 KS   14.370   0.0600  -9.0000  -9.0000  -9.0000 SMARTS kann10 0 NNN  0.000  0.000 0 nnn
        74745.0            -9.0            -9.0     0.001    -9.000 KS   17.100 100.0000  -9.0000  -9.0000  -9.0000 SMARTS kann10 1 NNN  0.000  0.000 0 nnn
