time_sec	mag	mag_err	band	source
884.0	19.754665011942382	0.369	R	manual
1855.0	20.170665011942383	0.3165	R	manual
3711.0	20.606665011942383	0.298	R	manual
7114.0	21.10566501194239	0.351	R	manual
13733.0	21.493665011942387	0.2215	R	manual
23828.0	22.124665011942387	0.314	R	manual
913.0	18.642601587355134	0.247	I	manual
1486.0	18.719601587355136	0.2375	I	manual
2975.0	19.673601587355137	0.237	I	manual
6746.0	20.097601587355136	0.2685	I	manual
11301.0	20.496601587355137	0.3405	I	manual
22280.0	20.84960158735513	0.2465	I	manual
