time_sec	mag	mag_err	band
126.7641	23.772561407094127	0.0615540866882405	r
141.1929	23.712861488500593	0.09079657964958548	r
160.6913	23.772561407094127	0.0907965745703573	r
175.1643	24.190471067748142	0.06155408191495784	r
182.8826	23.981511441472353	0.06155407748219022	r
195.1022	23.951661363802714	0.061554091392148166	r
208.1383	24.309871015518418	0.06155409731851941	r
222.0455	24.339721119142126	0.0615540944917813	r
242.0444	24.48898051072011	0.0907965752508822	r
252.7096	24.757630569790106	0.061554078581106564	r
281.4739	24.60838065894798	0.09079658400434126	r
313.5124	24.81733087706094	0.06155409017135403	r
356.8079	24.996442545532478	0.09079655965649021	r
380.6487	25.29495269008308	0.239280317040932	r
462.1618	25.29495269008308	0.1203377935643852	r
493.042	25.265102312001826	0.12033773887150029	r
573.3594	25.77256204282413	0.09079658473549777	r
681.2921	25.742711929666598	0.0907965782457772	r
845.2133	26.130771477233665	0.0907965768060131	r
1026.209	26.459121695412584	0.15000128274600363	r
1300.865	26.578531113168612	0.09079656470131489	r
1480.512	26.339721513518697	0.06155409756353715	r
1759.213	26.369571511134833	0.06155408132244515	r
2182.485	26.578531113168612	0.3287020435361314	r
2328.312	26.369571511134833	0.1203377439682968	r
2766.608	26.69793117911621	0.06155410036846051	r
3359.056	26.96659185517689	0.09079656226742466	r
3991.385	26.96659185517689	0.06155409088590633	r
7956.995	27.593451619307324	0.09079655041865382	r
12246.58	27.8322612757794	0.09079656914119535	r
15524.27	27.77256103452132	0.09079657349168899	r
54210.38	28.488980508399088	0.12033777182951806	r
94957.24	29.4442021319804	0.15000125135809364	r
103509.8	29.11584234668757	0.15000125210370238	r
177445.0	30.578531056965055	0.3585237583713502	r
201949.8	29.95166186198317	0.3883495877827216	r
1436490.0	31.742712300431457	0.09079660459361305	r
1467800.0	31.56360245559139	0.09079657517514737	r
2308320.0	31.62330262649259	0.12033777385343197	r
3552730.0	32.01136216390509	0.09079658913065955	r
4407520.0	32.22032192746685	0.09079659481400992	r
5125520.0	32.22032192746685	0.1797265685224546	r
5833340.0	32.309871639384696	0.12033774016335794	r
