Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            328.1000              30.0000    2.3572183423434994e-13    8.3695069561898337e-15
            393.1000              35.0000    1.8130083744067955e-13    5.0262256966280855e-15
            473.1000              45.0000    1.3085785828035872e-13    3.0131135406185055e-15
            554.8000              36.6310    9.6827742390025837e-14    2.4792497746566627e-15
            680.6000              59.5000    6.7421716288424787e-14    7.4517234727831609e-16
            853.6000              84.5130    4.5793074356419122e-14    6.3687240086883177e-16
           1038.1000             100.0000    3.1045581492411361e-14    6.5194405012284138e-16
           1256.6000             118.4870    2.2887575858814959e-14    2.5823289608137371e-16
           1529.6000             148.5000    1.7330049170657865e-14    3.7110639014549848e-16
           1844.6000             162.5000    1.3049677924560660e-14    2.6622522582841213e-16
           2125.6000              88.5000    9.6205475650211519e-15    3.7392794478792739e-16
           5983.1000             509.0000    2.2325427393169329e-15    5.7574939921798125e-17
           7211.6000             713.5000    1.6173342349965361e-15    5.1913252865488072e-17
          12578.1000            1242.0000    7.0794541638371196e-16    3.6123117137288105e-17
          18380.1000            1223.0000    3.4260979068924833e-16    4.0012409377169755e-17
          24182.1000            1204.0000    2.0342286479878314e-16    4.3280017380773936e-17
         125446.6000            4028.5000    2.3035611851156983e-17    1.1063386998132038e-17
         199635.6000            8980.5000    1.5834332111572975e-17    5.0431329685366362e-18
