RC   15.950    0.050
RC   16.100    0.050
RC   16.190    0.050
RC   17.290    0.050
RC   17.750    0.050
RC   18.290    0.050
RC   18.790    0.050
RC   19.130    0.060
RC   20.390    0.060
RC   20.430    0.060
RC   20.480    0.060
RC   20.480    0.060
RC   20.710    0.070
RC   20.710    0.070
RC   20.600    0.070
RC   20.750    0.080
RC   20.840    0.080
RC   20.790    0.080
RC   21.250    0.120
RC   21.090    0.100
ii   16.370    0.040
ii   16.890    0.040
ii   17.380    0.040
ii   17.930    0.040
ii   18.420    0.040
ii   18.600    0.050
ii   19.140    0.070
ii   19.350    0.060
ii   19.710    0.050
ii   19.850    0.060
ii   19.870    0.060
ii   19.930    0.060
ii   20.050    0.060
ii   20.140    0.070
ii   20.380    0.080
ii   20.350    0.080
ii   20.430    0.090
ii   20.510    0.090
ii   20.520    0.100
ii   20.520    0.100
ii   20.880    0.250
ii   20.420    0.170
BJ   17.520    0.070
BJ   18.150    0.070
BJ   18.600    0.070
BJ   18.990    0.060
BJ   19.500    0.070
BJ   19.970    0.080
BJ   20.210    0.080
BJ   20.920    0.110
VJ   17.270    0.060
RC   21.270    0.330
RC   21.460    0.180
RC   21.510    0.170
RC   21.550    0.150
RC   21.720    0.200
RC   21.840    0.290
RC   22.390    0.290
RC   22.010    0.300
RC   22.910    0.590
RC   19.040    0.060
RC   19.120    0.080
RC   19.230    0.070
RC   19.500    0.130
RC   19.550    0.110
RC   19.480    0.100
RC   19.680    0.170
RC   19.740    0.180
RC   19.700    0.200
RC   20.260    0.350
RC   19.930    0.310
RC   19.530    0.190
RC   20.710    0.400
RC   19.880    0.230
RC   19.790    0.210
RC   20.010    0.190
RC   20.300    0.190
RC   19.800    0.100
RC   19.930    0.170
RC   19.970    0.180
RC   20.050    0.200
RC   20.050    0.200
RC   20.360    0.290
RC   20.960    0.350
RC   20.160    0.170
RC   21.470    0.500
RC   20.510    0.210
RC   20.250    0.170
RC   20.250    0.160
RC   21.160    0.370
RC   20.810    0.250
RC   20.570    0.220
RC   20.200    0.170
RC   20.320    0.240
RC   20.110    0.250
RC   20.160    0.420
RC   21.610    0.070
RC   21.750    0.110
RC   22.010    0.130
IC   21.320    0.210
IC   21.510    0.280
IC   21.580    0.220
VJ   22.040    0.130
VJ   22.140    0.120
RC   21.630    0.120
RC   21.740    0.120
BJ   22.390    0.080
BJ   22.740    0.100
RC   21.410    0.090
RC   21.560    0.100
RC   21.910    0.110
RC   21.980    0.100
IC   20.980    0.080
rr   22.120    0.150
rr   22.600    0.120
rr   22.770    0.080
ii   22.080    0.170
ii   22.270    0.200
rr   21.760    0.140
rr   22.030    0.050
rr   22.920    0.060
rr   24.130    0.140
ii   21.390    0.220
ii   21.660    0.170
ii   22.530    0.060
ii   23.400    0.110
gg   23.550    0.060
gg   24.500    0.110
rr   24.210    0.090
ii   23.780    0.140
gg   24.730    0.090
