T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
2890.	-9.	-9.	-9.	17.33	0.09	CR	RAPTOR	wozniak06
2920.	-9.	-9.	-9.	17.23	0.07	CR	RAPTOR	wozniak06
2960.	-9.	-9.	-9.	17.14	0.07	CR	RAPTOR	wozniak06
2990.	-9.	-9.	-9.	17.3	0.08	CR	RAPTOR	wozniak06
3030.	-9.	-9.	-9.	17.05	0.06	CR	RAPTOR	wozniak06
3070.	-9.	-9.	-9.	17.22	0.07	CR	RAPTOR	wozniak06
3100.	-9.	-9.	-9.	17.08	0.06	CR	RAPTOR	wozniak06
3140.	-9.	-9.	-9.	16.88	0.05	CR	RAPTOR	wozniak06
3170.	-9.	-9.	-9.	16.77	0.05	CR	RAPTOR	wozniak06
3210.	-9.	-9.	-9.	16.83	0.05	CR	RAPTOR	wozniak06
3250.	-9.	-9.	-9.	16.84	0.05	CR	RAPTOR	wozniak06
3280.	-9.	-9.	-9.	16.63	0.04	CR	RAPTOR	wozniak06
3320.	-9.	-9.	-9.	16.59	0.04	CR	RAPTOR	wozniak06
3350.	-9.	-9.	-9.	16.57	0.04	CR	RAPTOR	wozniak06
3390.	-9.	-9.	-9.	16.54	0.04	CR	RAPTOR	wozniak06
3430.	-9.	-9.	-9.	16.46	0.03	CR	RAPTOR	wozniak06
3460.	-9.	-9.	-9.	16.47	0.03	CR	RAPTOR	wozniak06
3500.	-9.	-9.	-9.	16.41	0.03	CR	RAPTOR	wozniak06
3530.	-9.	-9.	-9.	16.37	0.03	CR	RAPTOR	wozniak06
3570.	-9.	-9.	-9.	16.37	0.03	CR	RAPTOR	wozniak06
3610.	-9.	-9.	-9.	16.41	0.03	CR	RAPTOR	wozniak06
3640.	-9.	-9.	-9.	16.4	0.03	CR	RAPTOR	wozniak06
3680.	-9.	-9.	-9.	16.42	0.03	CR	RAPTOR	wozniak06
3710.	-9.	-9.	-9.	16.36	0.03	CR	RAPTOR	wozniak06
3750.	-9.	-9.	-9.	16.39	0.03	CR	RAPTOR	wozniak06
3790.	-9.	-9.	-9.	16.46	0.03	CR	RAPTOR	wozniak06
3820.	-9.	-9.	-9.	16.37	0.03	CR	RAPTOR	wozniak06
3860.	-9.	-9.	-9.	16.56	0.04	CR	RAPTOR	wozniak06
3890.	-9.	-9.	-9.	16.49	0.03	CR	RAPTOR	wozniak06
3930.	-9.	-9.	-9.	16.47	0.03	CR	RAPTOR	wozniak06
3970.	-9.	-9.	-9.	16.61	0.04	CR	RAPTOR	wozniak06
4000.	-9.	-9.	-9.	16.56	0.04	CR	RAPTOR	wozniak06
4040.	-9.	-9.	-9.	16.59	0.04	CR	RAPTOR	wozniak06
4070.	-9.	-9.	-9.	16.65	0.04	CR	RAPTOR	wozniak06
4110.	-9.	-9.	-9.	16.64	0.04	CR	RAPTOR	wozniak06
4150.	-9.	-9.	-9.	16.57	0.04	CR	RAPTOR	wozniak06
4190.	-9.	-9.	-9.	16.63	0.04	CR	RAPTOR	wozniak06
4220.	-9.	-9.	-9.	16.6	0.04	CR	RAPTOR	wozniak06
4260.	-9.	-9.	-9.	16.66	0.04	CR	RAPTOR	wozniak06
4300.	-9.	-9.	-9.	16.63	0.04	CR	RAPTOR	wozniak06
4330.	-9.	-9.	-9.	16.72	0.04	CR	RAPTOR	wozniak06
4370.	-9.	-9.	-9.	16.68	0.04	CR	RAPTOR	wozniak06
4400.	-9.	-9.	-9.	16.66	0.04	CR	RAPTOR	wozniak06
4440.	-9.	-9.	-9.	16.75	0.04	CR	RAPTOR	wozniak06
4480.	-9.	-9.	-9.	16.75	0.04	CR	RAPTOR	wozniak06
4510.	-9.	-9.	-9.	16.69	0.04	CR	RAPTOR	wozniak06
4550.	-9.	-9.	-9.	16.75	0.04	CR	RAPTOR	wozniak06
4580.	-9.	-9.	-9.	16.78	0.04	CR	RAPTOR	wozniak06
4620.	-9.	-9.	-9.	16.76	0.04	CR	RAPTOR	wozniak06
4660.	-9.	-9.	-9.	16.8	0.04	CR	RAPTOR	wozniak06
4690.	-9.	-9.	-9.	16.69	0.04	CR	RAPTOR	wozniak06
4730.	-9.	-9.	-9.	16.73	0.04	CR	RAPTOR	wozniak06
4760.	-9.	-9.	-9.	16.7	0.04	CR	RAPTOR	wozniak06
4800.	-9.	-9.	-9.	16.73	0.04	CR	RAPTOR	wozniak06
4840.	-9.	-9.	-9.	16.68	0.04	CR	RAPTOR	wozniak06
4870.	-9.	-9.	-9.	16.84	0.04	CR	RAPTOR	wozniak06
4910.	-9.	-9.	-9.	16.75	0.04	CR	RAPTOR	wozniak06
4940.	-9.	-9.	-9.	16.76	0.04	CR	RAPTOR	wozniak06
4980.	-9.	-9.	-9.	16.82	0.04	CR	RAPTOR	wozniak06
5020.	-9.	-9.	-9.	16.69	0.04	CR	RAPTOR	wozniak06
5050.	-9.	-9.	-9.	16.79	0.05	CR	RAPTOR	wozniak06
5090.	-9.	-9.	-9.	16.75	0.05	CR	RAPTOR	wozniak06
5120.	-9.	-9.	-9.	16.78	0.04	CR	RAPTOR	wozniak06
5160.	-9.	-9.	-9.	16.78	0.04	CR	RAPTOR	wozniak06
5200.	-9.	-9.	-9.	16.79	0.04	CR	RAPTOR	wozniak06
5230.	-9.	-9.	-9.	16.79	0.04	CR	RAPTOR	wozniak06
5270.	-9.	-9.	-9.	16.72	0.04	CR	RAPTOR	wozniak06
5300.	-9.	-9.	-9.	16.77	0.04	CR	RAPTOR	wozniak06
5340.	-9.	-9.	-9.	16.75	0.04	CR	RAPTOR	wozniak06
5380.	-9.	-9.	-9.	16.69	0.04	CR	RAPTOR	wozniak06
5410.	-9.	-9.	-9.	16.76	0.04	CR	RAPTOR	wozniak06
5450.	-9.	-9.	-9.	16.72	0.04	CR	RAPTOR	wozniak06
5480.	-9.	-9.	-9.	16.73	0.04	CR	RAPTOR	wozniak06
5520.	-9.	-9.	-9.	16.67	0.04	CR	RAPTOR	wozniak06
5560.	-9.	-9.	-9.	16.7	0.04	CR	RAPTOR	wozniak06
5590.	-9.	-9.	-9.	16.71	0.04	CR	RAPTOR	wozniak06
5630.	-9.	-9.	-9.	16.71	0.04	CR	RAPTOR	wozniak06
5660.	-9.	-9.	-9.	16.75	0.04	CR	RAPTOR	wozniak06
