T_OBS[MJD]	T_1/2 [s]	GROND Mag	GROND Mag err
54314.31093	214.63	19.286	0.163
54314.31625	220.47	18.400	0.124
54314.31969	46.18	18.027	0.091
54314.32104	46.17	17.975	0.099
54314.32242	46.68	17.778	0.078
54314.32374	45.69	17.645	0.085
54314.32527	46.47	17.659	0.131
54314.32656	46.59	17.810	0.115
54314.32792	46.47	17.863	0.073
54314.32926	45.93	18.074	0.097
54314.33131	92.26	18.074	0.098
54314.33366	93.08	18.269	0.100
54314.33606	93.18	18.130	0.100
54314.33849	92.81	18.263	0.106
54314.35684	218.45	18.347	0.186
54314.42631	644.38	19.144	0.164
54314.43670	222.02	19.169	0.144
54314.44737	212.18	19.243	0.108
54314.45264	211.29	19.439	0.160
54315.32548	4559.32	20.427	0.192
