614.5	17.2	0	v_swift	27783
24930	18.2	0	Clear	27784
52448	17.1	0	Clear	27789
52448	17.4	0	Clear	27789
53065	16.4	0	Clear	27789
53065	17.3	0	Clear	27789
53265	16.4	0	Clear	27789
53265	16.9	0	Clear	27789
55058	19.3	0	Clear	27789
55138	19.3	0	Clear	27789
55278	19.7	0	Clear	27789
55697	19.1	0	Clear	27789
58140	22.57	0.29	R	27794
58140	20.39	0	I	27794
311040	23.6	0	F160W	27826
527040	25.6	0	F125W	28100
24192	18.1	0	clear	arXiv2008.08593
56160	22.1	0	R	arXiv2008.08593
59616	20.4	0	I	arXiv2008.08593
183168	22.2	0	r	arXiv2008.08593
304128	24.53	0.15	F125W	arXiv2008.08593
316224	24.61	0.15	F160W	arXiv2008.08593
1.42E+06	27.5	0	F125W	arXiv2008.08593
