# t(s)	flux(erg)	err		beta(from Wang 2015)	z
66.528		4.38175E-12	1.65465E-12	0.52		3.96855
1607.04		2.17594E-12	8.21687E-13	0.52		3.96855
1657.152	2.17594E-12	8.21687E-13	0.52		3.96855
2160		1.9127E-12	1.76166E-13	0.52		3.96855
2256.768	1.65062E-12	6.68922E-13	0.52		3.96855
2916.864	1.59092E-12	5.42157E-13	0.52		3.96855
3157.056	1.46436E-12	1.21385E-13	0.52		3.96855
3460.32		1.53337E-12	1.27106E-13	0.52		3.96855
3672		9.32495E-13	3.60721E-13	0.52		3.96855
3763.584	1.63549E-12	9.03804E-14	0.52		3.96855
4066.848	1.51931E-12	1.2594E-13	0.52		3.96855
4673.376	1.43763E-12	1.72134E-13	0.52		3.96855
4707.936	1.32327E-12	4.75321E-13	0.52		3.96855
11497.25	1.11083E-12	5.11555E-14	0.52		3.96855
14559.26	1.14195E-12	1.05178E-13	0.52		3.96855
82956.96	4.38174E-14	6.86075E-15	0.52		3.96855
358897		5.99303E-15	5.51979E-16	0.52		3.96855
1848.96		2.04008E-12	1.87898E-14	0.52		3.96855
3110.4		1.42445E-12	1.31197E-14	0.52		3.96855
4363.2		1.47791E-12	1.3612E-14	0.52		3.96855
5702.4		1.06083E-12	9.77064E-15	0.52		3.96855
6315.84		9.23948E-13	8.50987E-15	0.52		3.96855
6946.56		9.67492E-13	1.78219E-14	0.52		3.96855
7560		9.41124E-13	1.73361E-14	0.52		3.96855
72696.96	3.51275E-14	2.26475E-15	0.52		3.96855
