Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   6.0548999999999999e+01    3.1259999999999999e+00    8.0579946227645860e-04    2.1649499416351314e-04
   6.8676000000000002e+01    5.0000000000000000e+00    6.0873298358917242e-04    1.5281999588012695e-04
   7.8676000000000002e+01    5.0000000000000000e+00    2.4705899333953853e-04    1.1970899677276609e-04
   8.8676000000000002e+01    5.0000000000000000e+00    5.9090398406982415e-04    1.5281999588012695e-04
   1.0367600000000000e+02    1.0000000000000000e+01    4.3945936815261843e-04    9.7054196483516682e-05
   1.2190500000000000e+02    8.2289999999999992e+00    6.0900041858196255e-04    1.2036153815517425e-04
   1.5796430000000000e+03    1.4898500000000001e+02    9.3119336289596553e-05    2.8577084529590607e-05
   5.6036279999999997e+03    4.2500000000000000e+02    2.9373022008132932e-04    3.6450880117321008e-05
   1.1550628000000001e+04    4.5400000000000000e+02    1.4483438699541091e-04    1.0130564876890182e-05
   1.7142628000000001e+04    4.5400000000000000e+02    5.3509921557426458e-05    1.9088465515394208e-05
   2.3835128000000001e+04    4.4450000000000000e+02    8.5657645290756224e-05    2.0259041213836668e-05
   3.2060628000000001e+04    2.8850000000000000e+03    5.6432094578647619e-05    6.7155473689556126e-06
   3.6226627999999997e+04    3.6100000000000000e+02    4.4501692200279232e-05    9.6163001207542415e-06
   7.5137627999999997e+04    5.8300000000000000e+03    1.8417280093488693e-05    5.7721895343875886e-06
   9.5342127999999997e+04    9.0045000000000000e+03    1.6254062111806869e-05    4.5650134469318389e-06
   1.2138162800000000e+05    1.2004000000000000e+04    7.0983869286346434e-06    3.8653525657939910e-06
   1.5303862800000000e+05    1.4622000000000000e+04    8.1207781710720054e-06    3.5561467741298673e-06
   1.9089212800000000e+05    1.7853500000000000e+04    6.0004771382331842e-06    3.6415476818275451e-06
   2.3707312800000000e+05    2.3236500000000000e+04    3.3706487691307062e-06    2.3814169187994000e-06
   2.9517162800000003e+05    2.9495000000000000e+04    3.4638944366168972e-06    1.6993634481868743e-06
   3.6486162800000003e+05    3.5045000000000000e+04    4.5555386071872712e-06    2.1728278124227523e-06
   7.1850762800000003e+05    4.0910000000000000e+04    4.7752173512649532e-06    1.4523604888458252e-06
   9.4163112800000003e+05    9.0315500000000000e+04    2.0028359430055618e-06    1.1769814032697676e-06
   1.1588111280000000e+06    1.1571550000000000e+05    1.7802077730073927e-06    8.8232407521343228e-07
   1.7451101280000000e+06    1.7141650000000000e+05    5.0751775331783295e-07    9.0582269657993310e-07
   1.9919296280000000e+06    6.3617000000000000e+04    1.2372459686450957e-06    9.4497517952442173e-07
