Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.7104300000000001e+02    1.4186000000000000e+01    2.4430441291379927e-04    8.7708234935474403e-05
   2.0522900000000001e+02    2.0000000000000000e+01    3.6262402122402186e-04    7.9452644058036799e-05
   2.4092449999999999e+02    1.5695499999999999e+01    3.0893326267147063e-04    8.6046572180271150e-05
   3.2185199999999998e+02    1.9800000000000001e+01    1.6488844565477372e-04    8.6085031879234319e-05
   4.0555200000000002e+02    1.8500000000000000e+01    5.3093487068653106e-04    1.3828706897192001e-04
   5.1805200000000002e+02    4.7000000000000000e+01    5.5148916013240804e-04    1.2295311058530808e-04
   6.3105200000000002e+02    4.7000000000000000e+01    4.8612295389461512e-04    1.0148674046401978e-04
   7.7105200000000002e+02    4.7000000000000000e+01    5.0010088951778404e-04    1.2379693166255948e-04
   4.0150850000000000e+03    4.9856000000000002e+01    2.2381456256618501e-04    6.0100793279743188e-05
   1.0200552000000000e+04    4.4950000000000000e+02    9.7810910163116438e-05    1.8829919552364350e-05
   1.1984552000000000e+04    4.1850000000000000e+02    8.4101937732696520e-05    1.0289879722595214e-05
   2.2649052000000000e+04    1.3250000000000000e+03    3.1192598759078975e-05    8.3515618348503110e-06
   3.4220552000000003e+04    1.3255000000000000e+03    4.1983728068161011e-06    7.9827562447929390e-06
   4.5792052000000003e+04    1.3260000000000000e+03    1.1234842167119978e-05    8.1107684613418576e-06
   5.7499552000000003e+04    1.1895000000000000e+03    1.1195440078182219e-05    8.7898241130352025e-06
   9.5238551999999996e+04    8.8935000000000000e+03    9.0019382673168184e-06    5.3162765466785425e-06
   1.2191605200000000e+05    1.1990000000000000e+04    3.2392235726737971e-06    4.9783660657882689e-06
