date	time	exp	mag	mag_err	Band	source
2009-06-03	03:18:48.800	n/a	22.2	0.2	R	manual
2009-05-31	12:57:78.000	n/a	22.2	0.2	r'	manual
2009-06-02	03:18:60.040	5.0	17.13	0.25	none	manual
2009-06-02	03:19:35.860	5.0	16.3	0.1	none	manual
2009-06-02	03:20:02.460	5.0	16.6	0.13	none	manual
2009-06-02	03:20:51.170	10.0	16.87	0.11	none	manual
2009-06-02	03:25:32.610	30.0	17.31	0.09	none	manual
2009-05-30	05:55:15.000	2400.0	19.2	1.0	u	manual
2009-05-30	03:19:33.100	n/a	17.39	0.14	white	manual
2009-05-30	04:18:02.000	n/a	19.6	0.15	R	manual
2009-05-03	03:27:63.000	424.0	16.4	0.1	J	manual
2009-05-03	03:27:63.000	424.0	15.4	0.1	H	manual
2009-05-03	03:27:63.000	424.0	15.0	0.1	Ks	manual
2009-05-30	05:55:15.000	2400.0	19.7	1.01	u	manual
2009-05-30	17:08:41.200	147.0	17.43	0.03	white	manual
2009-05-30	17:08:50.300	19.0	17.69	0.29	v	manual
2009-05-30	17:08:48.490	19.0	18.6	0.27	b	manual
2009-05-30	17:08:44.340	246.0	17.46	0.05	u	manual
2009-05-30	17:09:75.14	197.0	20.15	0.37	uvw1	manual
2009-05-30	17:09:28.490	1082.0	20.31	0.22	uvm2	manual
2009-05-30	17:10:04.210	1279.0	21.31	0.32	uvw2	manual
2009-06-01	22:04:19.000	n/a	22.6	0.2	R	manual
2009-06-01	22:04:36.480	n/a	21.6	0.5	R	manual
2009-06-01	22:04:40.180	n/a	22.2	0.2	R	manual
