time_sec	mag	mag_err	band	source
63878.4	18.76707762609236	0.3	R	manual
65801.4	18.96707762609236	0.3	R	manual
69076.4	18.94109361779876	0.05	u	manual
84941.4	19.720664995675904	0.02	r	manual
84941.4	19.57251166855916	0.02	i	manual
84941.4	19.399059032620865	0.03	z	manual
84941.4	19.23271928464994	0.03	Y	manual
84941.4	19.20192625029944	0.03	J	manual
84941.4	18.99388559433632	0.03	H	manual
390488.4	18.33907762609236	0.018	R	manual
188549.4	20.700664995675904	0.03	r	manual
188549.4	20.52251166855916	0.03	i	manual
188549.4	20.32905903262086	0.05	z	manual
188549.4	20.272719284649934	0.07	Y	manual
188549.4	20.19192625029944	0.6	J	manual
188549.4	19.93388559433632	0.08	H	manual
289637.4	21.320664995675905	0.05	r	manual
289637.4	21.13251166855916	0.05	i	manual
289637.4	21.07905903262086	0.08	z	manual
289637.4	20.79271928464994	0.1	Y	manual
289637.4	20.81192625029944	0.11	J	manual
289637.4	20.593885594336317	0.13	H	manual
115416.4	20.26214725633152	0.22	g	manual
