date	time	exp	mag	mag_err	band	source
2019-06-28	15:30:37	1200.0	19.6	0.16	R	manual
2019-06-27	21:54:42	300.0	18.33	0.04	r	manual
2019-06-27	18:53:57	180.0	17.7	0.08	R	manual
2019-06-27	19:42:20	180.0	17.8	0.07	R	manual
2019-06-28	19:22:50	5400.0	19.75	0.08	R	manual
2019-06-28	21:17:48	n/a	20.2	0.1	r	manual
2019-07-05	07:44:12	1200.0	23.36	0.11	r	manual
2019-07-05	08:13:00	1200.0	23.17	0.11	i	manual
2019-06-27	22:59:09.12	600.0	17.04	0.1	H	manual
2019-06-27	17:19:20	60.0	17.44	0.05	R	manual
2019-06-27	19:10:35	60.0	17.73	0.07	R	manual
2019-06-27	11:20:26	29.0	18.15	0.1	white	manual
2019-06-27	20:36:55	30.0	18.0	0.14	R	manual
2019-06-27	22:19:03	30.0	18.1	0.13	R	manual
