Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            132.0000              48.5000    4.7424175218292753e-15    2.6207568491704136e-16
            686.0000               5.0000    2.2908665020289474e-15    5.0639186010864823e-16
            833.0000               5.0000    1.5995572165698322e-15    2.6518440299716800e-16
           1324.0000              47.0000    9.3756152349223035e-16    6.9082087996985254e-17
           1529.0000               5.0000    7.7268018445263361e-16    1.4233295404727106e-16
           1682.0000               5.0000    8.6297810172472517e-16    2.3050134609860502e-16
           1840.0000               5.0000    6.3095701541702397e-16    1.6852854214181898e-16
           1999.0000               5.0000    9.8174743747651334e-16    3.7073136107002120e-16
           2152.0000               5.0000    8.0167764814921919e-16    3.7656993525170701e-16
           6149.0000              94.0000    2.4888559857688698e-16    2.2923211425673095e-17
           7578.0000              97.5000    1.7060814659806046e-16    2.0427668893271935e-17
