Table 1 GRB060111B
Tstart 	Tend 	CR 				
28.0 	31.3 	13.75 ± 0.12 			
31.3 	34.6 	13.90 ± 0.19 			
34.6 	38.0 	14.05 ± 0.18 			
38.0 	41.3 	14.43 ± 0.27 			
41.3 	44.6 	14.63 ± 0.26 			
44.6 	48.0 	14.94 ± 0.24 			
48.0 	51.3 	15.11 ± 0.40			
51.3 	54.6 	15.30 ± 0.28
54.6 	58.0 	15.58 ± 0.35
58.0 	61.3 	15.40 ± 0.4
61.3 	74.6 	15.79 ± 0.19
74.6 	87.9 	16.31 ± 0.27
94.6 	124.6 	16.46 ± 0.30
131.5	161.5 	16.89 ± 0.38
168.3	198.3 	17.53 ± 0.59


Table 2
Tstart 		Tend 		f lux 
0.1 		0.50 		190 ± 37 	
0.50 		1.13 		260 ± 40 	
1.13 		2.0 		210 ± 27 	
2.0 		3.0 		180 ± 27 	
3.0 		4.0 		120 ± 25 	
4.0 		5.25 		88 ± 25 	
5.25 		7 		88 ± 18 		
7 		9 		80 ± 18 	
9 		11.5 		47 ± 18 		
11.5 		15 		84 ± 12 	
15 		19 		66 ± 12 		
19 		23.3 		47 ± 12 	
25.3 		27.6 		45 ± 10
27.6 		33.0 		22 ± 11
33.0 		41.3 		4.3 ± 5.3
41.3 		49.6 		0 ± 4.1
49.6 		54.6 		43 ± 6.8
54.6 		58.0 		92 ± 7.0
58.0 		63.8 		35 ± 6.5
63.8		74.6 		4.6 ± 3.2
94.6 		124.6 		2.2 ± 0.3
131.5 		161.5 		1.0 ± 0.3
131.5 		161.5 		1.0 ± 0.3
168.3 		198.3 		0.7 ± 0.2
762.0 		822.0 		0.29 ± 0.09
