z=   4.9000001e-01 0.
TotalEnergy(erg)    5.4938434864601310e+49    8.3579012999089239e+48
TotalEnergy(erg)    0.0000000000000000e+00    0.0000000000000000e+00
Energy1(erg)    1.5729542250733440e+49    1.4648173939718772e+48
Energy2(erg)   -2.1621878921402565e+49    2.0275331021481938e+48
Energy3(erg)    6.0830771763480128e+49    8.6133267450882801e+48
T_min_T_max    2.4797315277526427e+03    2.6748570969735403e+06
Interval1    2.4797315277526427e+03    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    2.4171727590771046e+04
Interval3    2.4171727590771046e+04    2.6748570969735403e+06
