z=   1.5470001e+00 0.
Total_Energy(erg)    1.3635528908605664e+05    2.4133319803344712e+03
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    3.5500588223648228e+03    7.2576755528710972e+04
