time_sec	flux	flux_err	band	logF	logT	mag	mag_err
-6139601.0	3.804095703319562e-14	2.1022209741087176e-15	R	-13.419748565630323		21.44	0.06
-5861083.0	1.0870547907899236e-14	1.0012144626162558e-15	R	-13.963748565630324		22.8	0.1
-6107952.08	1.3069273134471978e-14	6.018622699140549e-16	R	-13.883748565630324		22.6	0.05
-6172601.6	3.781489865432329e-14	4.612054376277641e-15	Ic	-13.422337059195604		20.98	0.13
-6171150.8	3.927068226311653e-14	4.341270430798322e-15	Rc	-13.405931553516115		21.39	0.12
-6170499.2	3.891064648402986e-14	4.301469424253386e-15	Rc	-13.409931553516113		21.4	0.12
-6169851.2	3.648114380835044e-14	1.1760422518200113e-14	Rc	-13.437931553516114		21.47	0.35
-5992808.0	1.0327659774622232e-13	9.673466420075439e-15	V	-12.985998077523002		20.7	0.1
-5992808.0	3.94685738868527e-14	3.6351899949440435e-15	R	-13.403748565630321		21.4	0.1
-3238965.2	5.108006419232608e-14	9.409295548674318e-15	R	-13.291748565630323		21.12	0.2
-5800719.0	4.7451662669232364e-14	8.74091928799652e-15	R	-13.323748565630323		21.2	0.2
-5970439.0	1.6619147074198444e-13	6.142605212893568e-14	g'	-12.779391268787423		20.3	0.4
