time_sec	flux	flux_err	band
31040.22	9.059432002287152e-13	4.373273633196528e-13	u
36723.22	3.057837953641375e-13	2.87032655577325e-14	r
38163.22	2.472196121094727e-13	5.6795596332008185e-14	i
47787.22	1.6058829166752886e-13	4.315003246861617e-14	z
47787.22	1.7103418427589968e-13	2.3690831752237703e-14	i
47787.22	1.8767847538959424e-13	3.813918026100164e-15	r
47787.22	1.2893038231536905e-13	2.8014898103911753e-14	g
53643.22	1.4226003810079176e-13	3.2682454394317373e-14	i
54025.22	1.6196249813883113e-13	4.184330566424753e-15	r
54025.22	1.4896454714214723e-13	2.0633851871974432e-14	i
54025.22	1.5911600935994452e-13	4.5101254373361915e-14	z
56883.22	1.6196249813883113e-13	9.418963084968168e-15	r
69793.22	2.1532822956974843e-13	1.0024733240248394e-13	u
104640.22	9.041727921826554e-14	8.327739171082343e-15	R
105472.22	1.2390846293053688e-13	5.941033163403223e-14	u
140425.22	6.26733516679314e-14	8.776643437138412e-15	i
140425.22	5.880502876995277e-14	2.4141745852979787e-15	r
141483.22	7.005102055402617e-14	3.46656616553852e-15	r
184673.22	3.1063574902917264e-14	6.29433415657739e-15	R
