time_sec	flux	flux_err	band
474.0	2.591666666666667e-14	0.0	U
763.0	5.2833333333333333e-14	0.0	U
942.0	1.266666666666667e-13	0.0	U
1230.0	3.9833333333333337e-13	0.0	U
1400.0	3.0166666666666673e-13	0.0	U
1560.0	2.575e-13	0.0	U
1730.0	2.6833333333333337e-13	0.0	U
5820.0	1.125e-13	0.0	U
7380.0	9.583333333333333e-14	0.0	U
101000.0	1.675e-14	0.0	U
101000.0	2.2083333333333335e-14	0.0	U
101000.0	3.2833333333333336e-14	0.0	U
109000.0	1.8083333333333336e-14	0.0	U
267000.0	1.1750000000000002e-14	0.0	U
267000.0	1.675e-14	0.0	U
517000.0	2.3000000000000003e-14	0.0	U
517000.0	1.4833333333333334e-14	0.0	U
590000.0	1.1750000000000002e-14	0.0	U
656000.0	2.3000000000000003e-14	0.0	U
710000.0	1.0416666666666669e-14	0.0	U
810000.0	2.3000000000000003e-14	0.0	U
876000.0	1.1250000000000001e-14	0.0	U
974000.0	2.6916666666666668e-14	0.0	U
974000.0	1.0833333333333336e-14	0.0	U
1000000.0	1.8083333333333336e-14	0.0	U
