Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            141.8000               5.0000    1.5703621144411267e-13    1.5909926554400229e-14
            162.8000               5.0000    1.1481531117319200e-13    1.2689857161809826e-14
            185.0000               5.0000    8.8715561474326232e-14    8.9881057006474592e-15
            543.0000              15.0000    1.5559648944370661e-14    1.4330966298136529e-15
           1135.2000              30.0000    4.1686917778914284e-15    3.8395070216474770e-16
           1537.8000              60.0000    2.6302666760852741e-15    1.9380521102940226e-16
           2116.8000              90.0000    1.5416996694308085e-15    1.1359662976177656e-16
           2704.8000              60.0000    1.1168626748064771e-15    8.2293483147453475e-17
           3286.8000              90.0000    8.7096313990618657e-16    5.6153068842863313e-17
           4119.0000              15.0000    6.7920327913786533e-16    5.6301240496734307e-17
           4479.0000              15.0000    5.4954058612425995e-16    4.5553102660769253e-17
           4741.8000              30.0000    4.9659206069053025e-16    4.1164037183676983e-17
           5146.2000              60.0000    4.4055463138589582e-16    3.6518923002096940e-17
           5727.0000              90.0000    3.5645094449318796e-16    2.9547310750137761e-17
           6312.0000              60.0000    3.3113094560656515e-16    2.4398629756873106e-17
           6895.8000              90.0000    2.6791668933561659e-16    1.9740831219543078e-17
           7657.2000             120.0000    2.1478293194834873e-16    2.9673358668034217e-17
           8883.0000             150.0000    2.0511610747386443e-16    2.0781080841313125e-17
           9205.2000             150.0000    1.8706811308591472e-16    1.7229609958906880e-17
          12375.0000             150.0000    1.1376266634759059e-16    1.1525721676411217e-17
          12622.8000              75.0000    1.1271968393789939e-16    1.1420053223363851e-17
          15976.8000             300.0000    5.6493665986666532e-17    6.7642366101570164e-18
          19312.2000             150.0000    4.4874513822322210e-17    1.0332738668015182e-17
          54274.8000             300.0000    5.4954054841347658e-18    1.5184366511602300e-19
          75566.0000               0.0010    3.5645092003267403e-18    6.2377651747565087e-19
         149808.0000             120.0000    7.4473151068784779e-19    3.4296153528223216e-19
