z=   1.3140000e+00 0.
Total_Energy(erg)    6.8898496758503933e+05    2.2359947660638249e+05
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    3.9170267756736189e+03    7.3833188947907965e+03
