#tdias exp m emg
0.3290197 342.4 19.327 0.173
0.3330194 689.53 19.360 0.174
0.3364198 1952 19.400 0.100
0.3370540 342.5 19.305 0.163
0.3450996 342.86 19.551 0.213
0.3531434 342.45 19.353 0.196
0.3597482 2075 19.683 0.100
0.3651768 689.38 19.464 0.201
0.3812533 690.3 19.480 0.220
0.3844837 2197 19.777 0.100
0.3982605 770.22 19.741 999.0
0.4241566 1462.69 19.687 0.252
1.0566720 1037.58 19.602 0
1.0986892 8554 20.397 0.070
1.1985530 8688 20.343 0.080
1.3005326 8923 20.550 0.140
2.1764170 22125 21.507 0.170
2.4570745 1040.76 19.937 999.0
