Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   8.3683999999999997e+01    5.0000000000000000e+00    2.0279671913280488e-03    1.6300060930566783e-04
   9.3683999999999997e+01    5.0000000000000000e+00    1.9255777940883636e-03    1.5002007885560987e-04
   1.0868400000000000e+02    1.0000000000000000e+01    1.6044877007446287e-03    8.6309677273178082e-05
   1.2868400000000000e+02    1.0000000000000000e+01    1.4757979822139740e-03    7.8943753471755982e-05
   1.5368400000000000e+02    1.5000000000000000e+01    1.2059840914878843e-03    5.3340291361999510e-05
   1.8382599999999999e+02    1.5141999999999999e+01    9.9620298914337145e-04    7.4420536293697340e-05
   2.1896799999999999e+02    2.0000000000000000e+01    9.2658838702011105e-04    1.0810690268554686e-04
   2.6396800000000002e+02    2.5000000000000000e+01    8.2731651769638059e-04    9.5094280036354072e-05
   3.1896800000000002e+02    3.0000000000000000e+01    5.7659748545551290e-04    8.0800516421699538e-05
   3.8396800000000002e+02    3.5000000000000000e+01    4.8003562405872345e-04    7.3712979712772363e-05
   4.4143500000000000e+02    2.2466999999999999e+01    3.9764781727981565e-04    8.9406829189682009e-05
   4.5777160000000003e+03    4.0650000000000000e+02    1.0514143066549300e-04    5.8101907733631139e-06
   5.4987160000000003e+03    5.0850000000000000e+02    1.0269147143154145e-04    4.1975322968387594e-06
   6.2302160000000003e+03    2.1700000000000000e+02    7.6682526932716368e-05    8.5133472704887389e-06
   1.1011716000000000e+04    1.0555000000000000e+03    6.9293170731925968e-05    2.1133655520257951e-06
   1.2279716000000000e+04    2.0850000000000000e+02    6.0704432263469695e-05    1.6677984780378340e-05
   1.7052716000000000e+04    1.2505000000000000e+03    4.5923936961936952e-05    3.0465939678668971e-06
   2.2812716000000000e+04    1.2785000000000000e+03    4.8918190081214909e-05    2.1971261917676926e-06
   2.8598216000000000e+04    1.2780000000000000e+03    4.6701026640987395e-05    2.4803067381334300e-06
   3.6754216000000000e+04    3.6450000000000000e+03    4.0251513414859771e-05    1.9508924264059067e-06
   4.3817716000000000e+04    3.4145000000000000e+03    2.9784362497043611e-05    1.8073460572757718e-06
   5.4629716000000000e+04    4.1745000000000000e+03    2.5389386765527720e-05    1.4980791376132965e-06
   6.8678216000000000e+04    6.6530000000000000e+03    1.8805672113018033e-05    1.1333920464448928e-06
   8.6285716000000000e+04    6.9035000000000000e+03    1.2760851705980299e-05    1.0758833349952695e-06
   1.0669821600000000e+05    9.9610000000000000e+03    1.0583854454669952e-05    8.5353533498954753e-07
   1.3186521599999999e+05    1.1976000000000000e+04    7.5946698652553556e-06    7.3997734305095674e-07
   1.9045671599999999e+05    1.8513500000000000e+04    3.6765944008827211e-06    5.9193297204208363e-07
   2.3693271599999999e+05    2.3636500000000000e+04    3.0379851080989836e-06    6.3659206883811940e-07
   2.9484071600000001e+05    2.9464500000000000e+04    1.2581109920825956e-06    5.9848894986534125e-07
   3.5906421600000001e+05    3.4752000000000000e+04    8.7689387135982502e-07    5.2733341278362267e-07
   4.4258321600000001e+05    4.4187000000000000e+04    7.7380404913902286e-08    4.4000442613792411e-07
   5.4599321600000001e+05    5.4297000000000000e+04    6.0717676663112646e-07    4.6308024551582340e-07
   6.7070821600000001e+05    6.4821000000000000e+04    1.9140729953985212e-07    3.8502743262004850e-07
   9.5989721600000001e+05    5.3253000000000000e+04    2.2691196918268201e-07    4.8977789879608151e-07
   1.2380497160000000e+06    1.1637950000000000e+05    2.2577295081338882e-07    2.9942531192779538e-07
   1.5271907160000000e+06    1.5111950000000000e+05    5.2874699774551386e-07    2.3462810547466277e-07
   3.4493202160000000e+06    3.4477000000000000e+05    3.6934046004295349e-09    2.1561016638736723e-07
   4.0918137160000000e+06    2.9231650000000000e+05    1.7748998251504894e-07    1.8231833028488160e-07
