t	mag	dmag	band
8979.8	19.840161	0.075271	r
9095.3	19.731193	0.068044	r
9192.5	19.663361	0.061834	r
9317.6	19.724997	0.068265	r
9417.0	19.636535	0.079716	r
9525.0	19.668872	0.062138	r
9641.6	19.704057	0.066624	r
9757.2	19.665228	0.065305	r
9854.6	19.794681	0.071221	r
9955.4	19.889313	0.076131	r
10075.7	19.680199	0.062676	r
10180.8	19.815439	0.073963	r
10282.7	20.344403	0.076254	r
10403.3	19.707931	0.063537	r
10504.3	19.778718	0.070771	r
10642.5	19.725841	0.072734	r
10869.1	19.733689	0.068821	r
10972.9	19.754543	0.068742	r
11075.0	19.876104	0.081449	r
11196.2	19.813237	0.07709	r
11295.2	19.6475	0.070217	r
11418.9	19.727011	0.081055	r
11534.6	19.719066	0.062799	r
11633.2	19.914786	0.080773	r
11737.6	19.858328	0.076559	r
11867.4	19.717264	0.068521	r
11984.8	19.787717	0.075549	r
12089.0	20.127994	0.108118	r
12209.7	19.79285	0.070672	r
12415.8	19.949587	0.083989	r
10697.8	19.765006	0.013955	r
8979.7	19.356239	0.052202	i
9095.3	19.55413	0.065519	i
9192.5	19.506684	0.058905	i
9317.6	19.453574	0.057423	i
9417.0	19.454923	0.069463	i
9525.0	19.490615	0.056429	i
9641.6	19.45436	0.060387	i
9757.1	19.543283	0.062647	i
9854.6	19.569225	0.063008	i
9955.4	19.496381	0.05746	i
10075.7	19.568624	0.062544	i
10180.8	19.535722	0.063605	i
10282.7	19.425212	0.055924	i
10403.3	19.5782	0.061936	i
10504.3	19.682291	0.069519	i
10642.5	19.551673	0.068151	i
10869.1	19.669193	0.073553	i
10972.8	19.836897	0.086085	i
11075.0	19.636646	0.075382	i
11196.2	19.595746	0.070702	i
11295.2	19.621277	0.072412	i
11418.9	19.574142	0.079099	i
11534.5	19.571705	0.064157	i
11633.150000000001	19.561858	0.065977	i
11737.6	19.738265	0.076516	i
11867.4	19.779408	0.081318	i
11984.8	19.628351	0.075831	i
12089.0	19.648025	0.081804	i
12209.7	19.607215	0.069915	i
12415.8	19.636593	0.071662	i
10697.75	19.568573	0.013064	i
8987.349999999999	19.255305	0.12893	Z
9319.349999999999	19.198001	0.119697	Z
9763.349999999999	19.23844	0.129052	Z
9857.349999999999	19.244194	0.126401	Z
10285.349999999999	19.247929	0.13001	Z
10646.349999999999	19.360487	0.149599	Z
12212.4	19.426024	0.154437	Z
10703.4	19.347034	0.038879	Z
9203.349999999999	19.193991	0.199585	Y
10703.4	19.280606	0.069165	Y
8986.349999999999	18.764987	0.188263	J
10284.349999999999	18.744938	0.19452	J
10704.4	18.967131	0.065699	J
10704.4	18.904841	0.092773	H
