#Time (s) 	Magnitude 	Mag Error 	Filters 
163 		18.2 		0		R
473 		19.1 		0		R
846 		19.1 		0.2 		r
2688 		19.6 		0.1 		r
440 		18.51		0.2 		R
507 		19.07 		0.2 		R	
574 		19.21 		0.3 		R 	
641 		19.75 		0.4 		R 	
708 		19.63 		0.6 		R 	
775 		19.1 		0.2 		R 	
842 		19.48 		0.3 		R 	
909 		19.19 		0.2 		R 	
976 		19.77 		0.4 		R 	
1043 		19.01 		0.2 		R 	
1110 		19.11 		0.2 		R 	
1177 		19.18 		0.2 		R 	
1244 		19.62 		0.3 		R 	
1311 		20.02 		0.5 		R 	
1379 		19.35 		0.3 		R 	
1446 		19.79 		0.4 		R 	
1513 		19.38 		0.3 		R 	
1580 		18.97 		0.2 		R 	
1647 		19.42 		0.3 		R 	
1714 		19.82 		0.4 		R 	
63720 		18.7 		0.1 		R 	
64800 		18.8 		0.1 		R 	
72720 		18.6 		0.1 		R 	
70020 		18.56 		0		R 	
27639 		17.63 		0.06 		R 	
27964 		17.53 		0.04 		R 	
28282 		17.61 		0.04 		R 	
28601 		17.84 		0.03 		R 	
28915 		17.9 		0.03 		R 	
29239 		18.08 		0.03 		R 	
157320 		19.32 		0		R 	
164070 		19.68 		0.07 		R 
