Start_aftertrigger(s)	Mag	MagErr	Band	GCN
155			19.92	0.18	White	10138
77			14.8	?	H	10139
250			>20.3	?	U	10148A
78			>16.5	?	Clear	10150
17364                	21.7     0.3	i'	10142
19344               	21.95    0.25	R	10142
231                 19.88    0.14		white	10143
5471                >21.26	?		white	10143
5163                >19.94	?		v	10143
5265.5                >20.49	?	b	10143
3443                >20.97	?		u	10143
5573.5        	>20.59	?		uvw1	10143
5368                >20.46	?		uvm2	10143
4958.5                >20.68	?	uvw2	10143
24.1               >16.0     ?          R  	  10149   		
59.5          	>16.9     ?             R 	  10149
22320			1200	>23	?	R	10153
159                >21.25		?	white(FC)	10157
421                >20.29		?	u(FC) 		10157
9603               >22.09		?	white		10157
5950.5             >20.96		?	v		10157
9221.5             >21.78		?	b		10157
11936             >21.61		?	u		10157
11693.5           >21.44		?	uvw1		10157
6415.5             >20.87		?	uvm2		10157
3826.5         	  >20.52		?	uvw2		10157
72000			24.5 	0.1	g'	10158
72000			23.6	0.1	r'	10158
72000			23.4    0.1	i'	10158
72000			23.3 	0.2	z'	10158
72000			>22.2	?	J	10158
72000			>21.8	?	H	10158
72000			>21.2	?	K	10158
933120			>25.1	?	r'	10246
