4.9   5.1   
4.9   5.1   
7.3   7.7   
7.3   7.6   
49.    49.  
49.    49.  
193.  195.  
7.6   8.4   
9.     9.   
12.    13.  
15.    15.  
17.    18.  
22.    23.  
21.    22.  
49.    49.  
223.  228.  
225.  226.  
225.  226.  
225.  226.  
8680. 8845. 
3318. 3379. 
49.   49.   
49.   49.   
224.  227.  
177.  179.  
197.  198.  
395.  396.  
49.   49.   
49.   49.   
224.  227.  
224.  227.  
148.  149.  
1831. 1913. 
1843. 1901. 
49.   49.   
49.   49.   
191.  194.  
220.  222.  
220.  222.  
1852. 1937. 
1864. 1925. 
221.  221.  
49.   49.   
49.   49.   
219.  223.  
220.  222.  
195.  196.  
2051. 2142. 
2063. 2130. 
48.   49.   
37.   37.   
221.  222.  
220.  221.  
221.  222.  
