z=   3.6849999e+00 0.
TotalEnergy(erg)    4.8146081602835341e+05    1.2225999801591743e+05
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    4.9870019739939872e+05    3.0177954751598433e+05
Energy2(erg)    4.9131151412161236e+05    1.5018441047695931e+05
Energy3(erg)    4.2546567556122172e+05    1.6781523680065072e+05
Energy4(erg)    4.5646563351779629e+05   -1.5384499915304678e+05
T_min_T_max    1.4749199753245674e+02    2.9178228744843468e+03
Interval1    1.4749199753245674e+02    7.8356509593742294e+02
Interval2    7.8356509593742294e+02    4.5923000000000002e+03
Interval3    4.5923000000000002e+03    7.5064351052429865e+03
Interval4    7.5064351052429865e+03    2.9178228744843468e+03
