z=   9.7100002e-01 0.
Total_Energy(erg)    2.5233597586303307e+06    7.1923792371714357e+04
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    5.7196853931999840e+03    1.9683510751023659e+04
