z=   3.8478999e+00 0.
TotalEnergy(erg)    1.0817185514621258e+50    1.2559762514140800e+49
TotalEnergy_common(erg)    8.1790272118737780e+49    5.4611418910688471e+48
Energy1(erg)    2.8658891498258859e+49    2.6989067986200860e+49
Energy2(erg)    5.4885372282643546e+49    1.6514233444501350e+49
Energy3(erg)    2.4627591368490454e+49    1.8897576415128703e+48
T_min_T_max    1.0753109785071639e+02    2.2396976408525687e+04
Interval1    1.0753109785071639e+02    0.0000000000000000e+00
Interval2    0.0000000000000000e+00    7.9499425425356721e+03
Interval3    7.9499425425356721e+03    2.2396976408525687e+04
