z=   9.7000003e-01 0.
TotalEnergy(erg)    6.1633091399258410e+05    1.3237475623096194e+05
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    7.6622393524906714e+05    1.1610925505161940e+05
Energy2(erg)    4.1502501796191663e+05    1.6821834406718487e+05
T_min_T_max    2.4959390500459955e+02    1.0437563300192344e+03
Interval1    2.4959390500459955e+02    7.0480481452440301e+02
Interval2    7.0480481452440301e+02    1.0437563300192344e+03
