#T T0(mid s) 		Mag 			err 		Filter 	
3574 			17.18 			0.05 		Clear 	
3641 			17.27 			0.06 		Clear 	
3706 			17.20 			0.05 		Clear 	
3773 			17.28			0.05 		Clear 	
3840 			17.27			0.06 		Clear 	
3907 			17.37			0.07 		Clear 	
3973 			17.32			0.06 		Clear 	
4046 			17.42			0.05 		Clear 	
4113 			17.46			0.06 		Clear 	
4180 			17.45			0.06 		Clear 	
4247 			17.49			0.06 		Clear 	
4313 			17.48 			0.06 		Clear 	
4340 			17.46 			0.06 		Clear 	
4550 			17.55 			0.06 		Clear 	
4617 			17.53 			0.07 		Clear 	
4683 			17.51 			0.06 		Clear 	
4750			17.50 			0.06 		Clear 	
4817 			17.60 			0.06 		Clear 	
4883 			17.70 			0.07 		Clear 	
4948 			17.58 			0.06 		Clear 	
5015 			17.66 			0.08 		Clear 	
5082 			17.65 			0.06 		Clear 	
5148 			17.64 			0.05 		Clear 	
5215 			17.68 			0.06 		Clear 	
5282 			17.71 			0.04 		Clear 	
5349 			17.76 			0.07 		Clear 	
5414 			17.78 			0.05 		Clear 	
5879 			17.87 			0.07 		Clear 	
5946 			17.81 			0.08 		Clear 	
6012 			17.99 			0.07 		Clear 	
6079 			17.81 			0.06 		Clear 	
6144 			17.93 			0.09 		Clear 	
6211 			18.03 			0.07 		Clear 	
6278 			18.11 			0.11 		Clear 	
12104 			18.40	 		0.10 		R 	
17676 			19.40	 		0.20 		R 	
18504 			19.55 			0.20 		R 	
19116 			19.30 			0.20 		R 	
36985 			20.18 			0.05 		R 	
39492 			20.09 			0.23 		R 	
39726 			20.20 			0.05 		R 	
39816 			20.18 			0.25 		R 	
44905 			20.46 			0.07 		R 	
45131 			20.25 			0.14 		R 	
48412 			20.57 			0.05 		R 	
56660 			20.78 			0.05 		R 	
57959 			20.90 			0.07 		R 	
78752 			21.17 			0.09 		R 	
104998 		21.80 			0.20 		R 	
118903 		21.69 			0.12 		R 	
119882 		21.87 			0.10 		R 	
123068 		21.82 			0.10 		R 	
192376 		22.30 			0.40 		R 	
121150 		22.48 			0.15 		B 	
124727 		22.09 			0.10 		B 	
