#T T0(mid s) 		Mag 			err 		Filter 	
228 			19.90 			0.01 		W 	
229 			19.93 			0.01 		W 	
602 			17.09 			0.01 		W 	
775 			16.67 			0.01 		W 	
941 			16.30 			0.01 		W 	
578 			17.56 			0.01 		b 	
751 			16.87 			0.01 		b 	
1815 			16.81 			0.12 		V 	
1915 			16.82 			0.13 		V 	
2014 			16.96 			0.14 		V 	
2112 			16.83 			0.12 		V 	
2212 			17.08 			0.16 		V 	
2312 			17.01 			0.15 		V 	
2412 			17.36			0.17 		V	
2510 			17.05 			0.17 		V 	
2614 			17.06 			0.18 		V 	
2714 			17.15 			0.17 		V 	
2814 			17.07 			0.12 		V 	
2914 			17.66 			0.14 		V 	
3013 			17.52 			0.20 		V 	
3113 			17.38 			0.22 		V 	
2583936 		24.30 			0 		V 	
1849 			15.74 			0.08 		I 	
1947 			15.78 			0.08 		I 	
2045 			15.85 			0.08 		I 	
2145 			15.99 			0.09 		I 	
2245 			16.04 			0.09 		I 	
2345 			16.10 			0.12 		I 	
2445 			16.10 			0.09	 	I 	
2549 			16.19 			0.12 		I 	
2648 			16.27 			0.08 		I 	
2748 			16.28 			0.10 		I 	
2848 			16.60 			0.13 		I 	
2946 			16.51 			0.11 		I 	
3046 			16.38 			0.09 		I 	
3144 			16.54 			0.11 		I 	
3209 			16.67 			0.16 		I 	
3276 			16.82 			0.13 		I 	
3342 			16.76 			0.11 		I 	
3409 			16.95 			0.14 		I 	
3476 			16.89 			0.12 		I 	
3541 			16.74 			0.13 		I 	
3608 			16.86 			0.14 		I 	
3674 			16.93 			0.13 		I 	
3739 			16.78 			0.13 		I 	
3806 			17.01 			0.14 		I 	
3873 			16.97 			0.13 		I 	
3940 			16.97 			0.19 		I 	
4007 			16.99 			0.17 		I 	
4080 			17.09 			0.11 		I 	
4146 			17.17 			0.15 		I 	
4213 			17.15 			0.11 		I 	
4280 			17.20 			0.14 		I 	
4516 			16.99 			0.16 		I 	
4583 			17.16 			0.19 		I 	
4650 			17.11 			0.15 		I 	
4717 			17.29 			0.17 		I 	
4783 			17.21 			0.16 		I 	
4850 			17.25 			0.15 		I 	
4915 			17.16 			0.11 		I 	
4982 			17.31 			0.16 		I 	
5048 			17.62 			0.21 		I 	
5115 			17.35 			0.24 		I 	
5182 			17.62 			0.18	 	I 	
5249 			17.14 			0.26 		I 	
5316 			17.34 			0.19 		I 	
5382 			17.16 			0.14 		I 	
5845 			17.30 			0.21 		I 	
5912 			17.48 			0.16 		I 	
5979 			17.31 			0.16 		I 	
6046 			17.52 			0.20 		I 	
6112 			17.48 			0.22 		I 	
6177 			17.47 			0.24 		I 	
6244 			17.78 			0.30 		I 	
2583936 		>23.30			— 		I 	
1782 			16.18 			0.04 		Clear 	
1882 			16.24 			0.04 		Clear 	
1980 			16.31 			0.04 		Clear 	
2078 			16.34 			0.03 		Clear 	
2178 			16.36 			0.04 		Clear 	
2278 			16.45 			0.04 		Clear 	
2378 			16.47 			0.04 		Clear 	
2478			16.52 			0.03 		Clear 	
2581 			16.60 			0.04 		Clear 	
2681 			16.70 			0.04 		Clear 	
2781 			16.77 			0.05 		Clear 	
2881 			16.91 			0.04 		Clear 	
2979 			16.88 			0.06 		Clear 	
3079 			17.00 			0.07 		Clear 	
3177 			16.99 			0.05 		Clear 	
3242 			17.05 			0.06 		Clear 	
3309 			17.07 			0.04 		Clear 	
3376 			17.12 			0.05 		Clear 	
3442 			17.19 			0.06 		Clear 	
3509 			17.18 			0.06 		Clear 	
