# t(s)	flux(erg)	err		beta(from Wang 2015)	z
40.3	3.71918E-12	1.57573E-13	0.74		3.2425
65.3	3.06794E-12	1.41284E-13	0.74		3.2425
90.3	2.57541E-12	1.32834E-13	0.74		3.2425
115.3	2.35747E-12	1.19422E-13	0.74		3.2425
140.3	2.73683E-12	1.26035E-13	0.74		3.2425
165.3	2.24723E-12	1.22117E-13	0.74		3.2425
190.5	1.72047E-12	1.26769E-13	0.74		3.2425
215.3	1.95545E-12	1.3868E-13	0.74		3.2425
240.3	1.84522E-12	1.63153E-13	0.74		3.2425
265.5	1.98083E-12	1.58724E-13	0.74		3.2425
300.3	1.77357E-12	9.14769E-14	0.74		3.2425
345.3	1.49985E-12	9.39359E-14	0.74		3.2425
390.3	1.69686E-12	8.28321E-14	0.74		3.2425
435.5	1.42576E-12	7.4851E-14	0.74		3.2425
480.2	1.75569E-12	7.60012E-14	0.74		3.2425
525.2	1.22475E-12	7.33223E-14	0.74		3.2425
570.2	1.04147E-12	6.90645E-14	0.74		3.2425
615.2	1.10369E-12	7.52236E-14	0.74		3.2425
660.2	1.07065E-12	7.29718E-14	0.74		3.2425
705.2	8.30323E-13	6.95927E-14	0.74		3.2425
750.4	8.54372E-13	7.00346E-14	0.74		3.2425
795.2	8.3262E-13	6.67178E-14	0.74		3.2425
840.2	8.31855E-13	7.12535E-14	0.74		3.2425
885.2	8.60691E-13	6.73817E-14	0.74		3.2425
930.2	7.17211E-13	6.86999E-14	0.74		3.2425
975.4	8.91347E-13	6.97817E-14	0.74		3.2425
1020.2	6.35693E-13	7.02594E-14	0.74		3.2425
1065.2	8.67855E-13	7.11398E-14	0.74		3.2425
1110.2	7.82072E-13	6.77096E-14	0.74		3.2425
1155.4	6.17799E-13	6.71437E-14	0.74		3.2425
2549.9	3.1568E-13	2.20972E-14	0.74		3.2425
2797.4	2.8579E-13	2.52694E-14	0.74		3.2425
29116.8	1.30511E-13	3.60616E-15	0.74		3.2425
32789.14	1.15784E-13	4.26562E-15	0.74		3.2425
38620.8	1.06573E-13	5.88943E-15	0.74		3.2425
55814.4	8.4654E-14	3.89846E-15	0.74		3.2425
128044.8	5.49095E-14	6.57456E-15	0.74		3.2425
130636.8	4.08929E-14	3.38973E-15	0.74		3.2425
214099.2	3.76398E-14	3.12008E-15	0.74		3.2425
292291.2	2.46404E-14	2.9503E-15	0.74		3.2425
316224	2.33156E-14	4.2949E-15	0.74		3.2425
407548.8	1.40491E-14	1.55276E-15	0.74		3.2425
486950.4	1.48473E-14	3.41871E-15	0.74		3.2425
656640	5.4406E-15	7.51647E-16	0.74		3.2425
994118.4	2.39688E-15	6.62284E-16	0.74		3.2425
