#t(s) exp m em
49 37 16.6 999.0
71 6  16.0 0.2
77 6  15.7 0.2
93 6  15.5 0.2
89 6  15.6  0.3
119 30 15.47 0.03
160  30 15.36 0.03
174 90 16.95 0.08
201 30 15.40 0.03
241 30 15.42 0.03
281 30 15.39 0.03
351 60 15.60 0.09
446 90 16.17 0.02
761 90 16.63 0.02
861 90 16.68 0.08
1330 400 17.22 0.08
2000 900 17.82 0.08
