;Flux density in mJy
   T-T_0  Exp(s)   g_flux    g_err   r_flux    r_err   i_flux    i_err   z_flux    z_err
   13586      66   0.1290   0.0042   0.1500   0.0033   0.1800   0.0050   0.2113   0.0074
   13690      66   0.1297   0.0029   0.1492   0.0025   0.1772   0.0034   0.2053   0.0053
   13792      66   0.1261   0.0030   0.1496   0.0025   0.1785   0.0035   0.2034   0.0052
   13903      66   0.1285   0.0028   0.1486   0.0025   0.1757   0.0036   0.1994   0.0048
   14172      66   0.1216   0.0039   0.1418   0.0031   0.1670   0.0048   0.1867   0.0053
   14271      66   0.1262   0.0028   0.1407   0.0023   0.1637   0.0041   0.1854   0.0046
   14373      66   0.1264   0.0028   0.1459   0.0024   0.1646   0.0033   0.1857   0.0038
   14473      66   0.1207   0.0027   0.1372   0.0023   0.1614   0.0033   0.1837   0.0037
   14607     115   0.1203   0.0029   0.1372   0.0024   0.1616   0.0039   0.1845   0.0044
   14792     115   0.1192   0.0025   0.1320   0.0026   0.1588   0.0031   0.1813   0.0035
   14978     115   0.1140   0.0020   0.1343   0.0021   0.1579   0.0025   0.1780   0.0028
   15164     115   0.1134   0.0016   0.1329   0.0023   0.1538   0.0027   0.1752   0.0031
   15359     115   0.1156   0.0016   0.1328   0.0026   0.1514   0.0039   0.1724   0.0044
   15543     115   0.1112   0.0015   0.1295   0.0021   0.1515   0.0028   0.1716   0.0032
   15730     115   0.1107   0.0015   0.1271   0.0025   0.1486   0.0023   0.1764   0.0026
   15916     115   0.1074   0.0015   0.1284   0.0020   0.1440   0.0025   0.1649   0.0024
   16241     375   0.1079   0.0015   0.1256   0.0017   0.1397   0.0024   0.1584   0.0028
   16685     375   0.1003   0.0014   0.1209   0.0017   0.1374   0.0020   0.1640   0.0024
   17130     375   0.0971   0.0013   0.1147   0.0016   0.1345   0.0020   0.1538   0.0023
   17578     375   0.0954   0.0015   0.1126   0.0016   0.1304   0.0019   0.1500   0.0022
   18032     375   0.0918   0.0018   0.1082   0.0015   0.1251   0.0018   0.1463   0.0028
   18475     375   0.0891   0.0013   0.1040   0.0014   0.1205   0.0018   0.1354   0.0020
   18920     375   0.0865   0.0012   0.0996   0.0014   0.1175   0.0017   0.1318   0.0019
   19368     375   0.0834   0.0013   0.0982   0.0013   0.1164   0.0017   0.1291   0.0019
   28739     375   0.0475   0.0017   0.0573   0.0013   0.0659   0.0016   0.0763   0.0025
   29188     375   0.0464   0.0011   0.0567   0.0012   0.0636   0.0015   0.0750   0.0018
   29640     375   0.0452   0.0013   0.0544   0.0010   0.0649   0.0013   0.0760   0.0016
   30090     375   0.0436   0.0012   0.0535   0.0010   0.0642   0.0014   0.0740   0.0016
  187775     460   0.0039   0.0000   0.0040   0.0007   0.0051   0.0009   0.0055   0.0009
  454637    1500   0.0029   0.0000   0.0018   0.0000   0.0052   0.0000   0.0044   0.0000
  881523    6000   0.0005   0.0000   0.0004   0.0000   0.0010   0.0000   0.0009   0.0000
