z=   2.1062000e+00 0.
TotalEnergy(erg)    4.4968701326519751e+05    1.0446404735722414e+04
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    8.5206506252565421e+05    1.4143461414108662e+04
Energy2(erg)    2.3122303428074784e+05    8.8260663963178667e+03
T_min_T_max    2.2213315449458016e+04    1.6933977317097862e+05
Interval1    2.2213315449458016e+04    7.3984667750750363e+04
Interval2    7.3984667750750363e+04    1.6933977317097862e+05
