z=   9.8000002e-01 0.
TotalEnergy(erg)    1.2881541530764329e-03    2.4623291361057545e-05
Energy1(erg)    2.2363602463823756e+01    1.6770575992057211e+00
Energy2(erg)   -2.6402942479721016e+01    3.4780053006284559e+00
Energy3(erg)    2.5071297424932834e+02    8.1521276466572470e+00
Energy4(erg)    9.3661243803839099e+01    1.7228515478886330e+00
T_min_T_max    1.6580807921083934e+02    2.6436934088765405e+05
Interval1    1.6580807921083934e+02    9.9898188495369970e+02
Interval2    9.9898188495369970e+02    0.0000000000000000e+00
Interval3    0.0000000000000000e+00    8.0693795215246850e+04
Interval4    8.0693795215246850e+04    2.6436934088765405e+05
