Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes	  	  	 
-9. -9. 438. 	 -9. 30.     	gg	 17.68     0.03    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 695. 	 -9. 30.     	gg	 17.74     0.04    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 963. 	 -9. 60.     	gg	 17.75     0.03    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 1323. 	 -9. 60.     	gg	 17.82     0.04    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 1677.	 -9. 60.     	gg	 17.98     0.03    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 2036. 	 -9. 60.     	gg	 18.07     0.03    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 2385. 	 -9. 60.     	gg	 18.27     0.05    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 2737. 	 -9. 60.     	gg	 18.36     0.04    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 3081. 	 -9. 60.     	gg	 18.50     0.05    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 3426. 	 -9. 60.     	gg	 18.57     0.05    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 3832. 	 -9. 120.    	gg	 18.76     0.03    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.064 0. 0 E(B-V)=0.017
-9. -9. 186. 	 -9. 10.     	rr	 17.65     0.05    -9. -9. -9.    	LT guidorzi09 0 SDSS 0.047 0. 0 E(B-V)=0.017
