date	time	exp	mag	mag_err	band	source
2002-02-11	02:09:36	n/a	28.6	0.2	R	manual
2002-02-17	14:24:00	n/a	29.3	0.3	V	manual
2002-01-26	00:50:24	3600.0	23.84	0.17	R	manual
2002-01-24	13:15:00	3520.0	18.5	0.4	R	manual
2002-01-24	12:17:20	n/a	17.918	0.041	Rm	manual
2002-01-24	12:17:20	n/a	18.628	0.057	Bm	manual
2002-01-24	12:21:50	n/a	18.219	0.046	R	manual
2002-01-24	12:23:50	n/a	17.984	0.044	Rm	manual
2002-01-24	12:23:50	n/a	18.727	0.063	Bm	manual
2002-01-24	12:27:54	n/a	18.371	0.091	R	manual
2002-01-24	12:30:20	n/a	18.111	0.049	Rm	manual
2002-01-24	12:30:20	n/a	18.842	0.069	Bm	manual
2002-01-24	12:34:10	n/a	18.376	0.082	R	manual
2002-01-24	13:23:23	n/a	18.678	0.048	Rm	manual
2002-01-24	13:23:23	n/a	19.661	0.09	Bm	manual
2002-01-24	13:29:54	n/a	18.867	0.036	Rm	manual
2002-01-24	13:29:54	n/a	19.584	0.053	Bm	manual
2002-01-24	13:36:25	n/a	18.843	0.039	Rm	manual
2002-01-24	13:36:25	n/a	19.714	0.05	Bm	manual
2002-01-26	08:11:02	n/a	24.398	0.228	r'	manual
2002-01-24	13:12:04	3520.0	18.5	0.4	none	manual
2002-01-26	00:57:36	3600.0	23.42	0.25	R	manual
2002-01-26	04:48:03	1800.0	20.55	0.13	Ks	manual
2002-01-26	05:31:12	1800.0	21.94	0.16	Js	manual
2002-01-26	07:40:48	240.0	21.94	0.16	I	manual
2002-01-27	04:48:03	1800.0	21.92	0.37	Ks	manual
2002-01-27	06:43:12	900.0	24.26	0.45	R	manual
