time_sec	flux	flux_err	band
63033.08	1.9980609460984828e-14	6.090949049155414e-15	g
63033.08	6.915846117291246e-14	8.512466717583283e-15	i
63033.08	9.397750175490926e-14	1.7304062005492444e-14	z
63033.08	6.019146996586746e-14	1.847700850418188e-14	J
63033.08	3.9281837804565114e-14	1.7069040618193347e-14	H
63033.08	2.9916802239011515e-14	1.8655634005351762e-14	K
68349.08	6.365687596971568e-14	9.225539569884443e-15	i
68349.08	4.7647523566407496e-14	1.0496378537991891e-14	Z
68349.08	4.518883494160244e-14	1.6512860951258878e-14	Y
156478.08	1.584328816162216e-14	2.542542246620713e-15	i
156478.08	1.896882079090355e-14	4.048836804365977e-15	Z
156478.08	2.009236895553702e-14	5.360588208899505e-15	Y
