time	flux	flux_errflux_err	band
88.16	6.993008774022351e-13	2.6009911602427314e-13	2.60683295908629e-13	V
103.16	9.083726991097576e-13	1.9869023667321184e-13	1.9892417305234278e-13	V
123.16	1.6213025775462294e-12	2.5021854497626525e-13	2.505173786371468e-13	V
143.16	1.8024535149815633e-12	2.48406787490927e-13	2.4806678508981515e-13	V
168.16	2.283831575870085e-12	2.2194831375000815e-13	2.2033995073479833e-13	V
203.16	2.3456546591704252e-12	1.9255529280690187e-13	1.9335336349185913e-13	V
228.04	2.084798438779925e-12	3.71377487095838e-13	3.714035187060322e-13	V
597.17	1.0633202216737342e-12	1.764418310748064e-13	1.768008106299814e-13	V
770.60	1.1011946002410009e-12	1.7678579596745826e-13	1.771974848868335e-13	V
948.99	9.573353002531495e-13	8.343060410833622e-14	8.3696684806952e-14	V
1150.09	8.524404960723586e-13	1.5378340206173457e-13	1.5371261210704352e-13	V
1457.88	6.821251670420319e-13	1.1266405333096077e-13	1.1268620653856005e-13	V
1715.60	5.658014721979936e-13	1.5892359860856225e-13	1.590751157508639e-13	V
5180.08	1.9456471092862202e-13	4.5469369752643065e-14	4.5464486575358544e-14	V
26638.00	0	0	0	V
57769.14	1.1985718489706169e-14	0	1.9656292216284686e-14	V
149577.64	1.9313637380961233e-15	0	1.8955059448732376e-14	V
206620.49	1.3093750859166874e-14	0	3.1684185333146034e-14	V
307400.15	1.562658480315409e-14	0	1.6102976909917347e-14	V
