#t	exp	m	em
212.807	5	15.5834457514	0.0783
221.806	5	15.568154919	0.0174
230.804	5	15.6237079934	0.0179
239.811	5	15.6288263476	0.018
248.824	5	15.6484849165	0.0183
257.817	5	15.7226541472	0.0195
268.145	5	15.7620977761	0.0196
277.176	5	15.7705937298	0.0203
286.165	5	15.7659688549	0.0207
295.178	5	15.7957263476	0.0205
305.32	5	15.7907822603	0.0209
314.319	5	15.8246977761	0.0208
323.331	5	15.8244192047	0.0205
350.35	5	15.8657192047	0.0214
359.344	5	15.9542334904	0.0221
368.342	5	15.875747576	0.0211
377.354	5	15.9277192047	0.0221
386.347	5	15.9361192047	0.0219
396.392	5	15.9248834904	0.023
405.375	5	15.9558464549	0.0221
414.387	5	15.9446763476	0.022
423.4	5	15.9809763476	0.0227
441.402	5	15.9781906333	0.0228
450.415	5	16.069054919	0.0243
468.436	5	16.0607620619	0.0239
477.439	5	16.0531357153	0.0237
496.56	5	16.0880650002	0.0244
505.573	5	16.1216104504	0.0248
515.146	5	16.1306922685	0.0253
525.553	5	16.145546814	0.0256
543.607	5	16.1948831776	0.0264
552.62	5	16.1510915472	0.0257
570.63	5	16.2245104504	0.0268
580.783	5	16.2528750002	0.0288
598.788	5	16.2280286322	0.0264
616.807	5	16.2262374154	0.0265
625.821	5	16.2149104504	0.0263
643.827	5	16.2772649958	0.0278
652.844	5	16.2835315472	0.028
673.185	5	16.3517387626	0.0292
682.196	5	16.3440772242	0.0288
691.215	5	16.3134618395	0.0288
709.212	5	16.4222406333	0.0313
718.205	5	16.3727514911	0.0303
727.245	5	16.3999303934	0.0306
736.237	5	16.4181834904	0.0308
745.229	5	16.4043053372	0.0306
754.224	5	16.4322263476	0.031
764.133	5	16.4165695318	0.0329
777.001	5	16.4300620619	0.0308
786.024	5	16.5303477761	0.0332
813.129	5	16.4724263476	0.0316
822.169	5	16.455404919	0.0317
840.171	5	16.5188926088	0.0331
850.515	5	16.5643079934	0.0339
860.669	5	16.4970437988	0.0343
869.676	5	16.5119477761	0.0329
878.694	5	16.5673976449	0.0344
891.149	5	16.5834120619	0.0351
900.136	5	16.5479772242	0.0338
909.123	5	16.5663192047	0.0346
918.122	5	16.5756477761	0.034
927.12	5	16.6540692047	0.0367
936.133	5	16.6522406333	0.0362
945.146	5	16.6051867743	0.0347
955.189	5	16.6040195413	0.0393
964.188	5	16.6698286322	0.0369
973.195	5	16.7347950002	0.0385
982.194	5	16.6870831776	0.0369
991.202	5	16.6771922685	0.0372
1000.219	5	16.7151450002	0.038
1018.231	5	16.7685286322	0.0401
1027.238	5	16.7277013595	0.0381
1036.242	5	16.6880377231	0.0371
1048.406	5	16.6853906333	0.0373
1066.416	5	16.7614620619	0.0402
1077.586	5	16.7941477761	0.0403
1086.656	5	16.8237692047	0.0409
1095.66	5	16.7315620619	0.0384
1104.673	5	16.7828977761	0.0395
1113.817	5	16.8283926088	0.0413
1122.784	5	16.7626014222	0.0402
1131.797	5	16.8209906333	0.041
1141.935	5	16.8852620619	0.0454
1150.932	5	16.9173834904	0.0446
1159.935	5	16.8471334904	0.0423
1168.942	5	16.9343406333	0.0445
1177.962	5	16.9120406333	0.044
1186.964	5	16.9621156857	0.0458
1195.972	5	16.9759977761	0.046
1204.985	5	16.918554919	0.0442
1213.988	5	16.8921334904	0.0434
1222.987	5	16.8732834904	0.0432
1233.041	5	16.8732120619	0.0468
1242.038	5	16.8781977761	0.0433
1251.046	5	16.8849120619	0.0429
1261.725	5	17.0288834904	0.0483
1270.725	5	16.9813334904	0.0466
1279.725	5	16.9166263476	0.0446
1288.738	5	16.9261045891	0.0451
1297.741	5	16.9049822603	0.0447
1306.744	5	16.9941906333	0.0465
1315.757	5	17.0090334904	0.0481
1325.913	5	16.9829104504	0.0504
1334.916	5	17.007176215	0.0472
1343.919	5	17.0693559049	0.0495
1352.932	5	17.0278922685	0.0488
1361.936	5	17.0599550002	0.0499
1381.171	5	17.0162377231	0.0491
1399.186	5	17.0996474154	0.0516
1418.333	5	17.0109286322	0.0493
1427.334	5	17.0721050002	0.0499
1436.347	5	17.0278150002	0.0483
1447.143	5	17.0185056133	0.0476
1465.14	5	17.1099450002	0.0518
1474.149	5	17.0538850002	0.0495
1483.136	5	17.0342104504	0.0492
1492.14	5	17.0676559049	0.0504
1759.063	50	17.3100477761	0.0223939271294
1851.063	50	17.3619120619	0.0235754416529
1945.063	50	17.4446263476	0.0252550059043
2053.063	50	17.4206192047	0.0247627731244
2161.063	50	17.4561263476	0.0259915947635
2254.063	50	17.5806013595	0.028319763454
2345.063	50	17.5826842395	0.0294616155056
2452.063	50	17.590754919	0.0282299324223
2577.063	50	17.6629692047	0.029555791792
2669.063	50	17.6827922685	0.029134186742
2764.063	50	17.762054919	0.0304741556365
2855.063	50	17.6531334904	0.0285971413296
2954.063	50	17.7376763476	0.0315565787143
3049.063	50	17.743546814	0.0315597743063
3141.063	50	17.8702765472	0.0336523725631
3233.063	50	17.8696842395	0.0327961236462
3337.063	50	17.8463763476	0.0329524048308
3435.063	50	17.8318763476	0.0331371712564
3608.063	50	17.8854620619	0.0359041867028
3888.063	50	17.9050334904	0.0336302950081
3984.063	50	17.8154919318	0.0338995212983
4166.063	50	17.9612763476	0.0357916564183
4266.063	50	17.959454919	0.0360966280687
4359.063	50	18.0247620619	0.0393764345643
4468.063	50	17.9167906333	0.034838113715
4568.063	50	17.9058834904	0.0341392721151
4671.063	50	18.0713263476	0.0392426129222
4765.063	50	17.8855120619	0.0341080840956
5071.063	50	18.0808380857	0.0376297699623
5316.063	50	18.031504919	0.0379593553981
5501.063	50	17.9757334904	0.0372995877154
5592.063	50	17.8755620619	0.033874519724
5683.063	50	18.0573263476	0.0379413061414
5972.063	50	18.1503406333	0.0414924034586
6269.063	50	18.0425477761	0.0369037864953
6361.063	50	18.1851692047	0.0411835027974
6461.063	50	18.1568263476	0.0431034717423
6560.063	50	18.2759377231	0.0455216695726
6653.063	50	18.3018073165	0.0454427968956
6857.063	50	18.3174906333	0.0479678290613
6957.063	50	18.1503334904	0.0423045004356
7055.063	50	18.369004919	0.0464390287233
7150.063	50	18.2419620619	0.043406865945
7271.063	50	18.3285120619	0.0469622786361
7390.063	50	18.3280534302	0.0464882572613
7486.063	50	18.4991784302	0.0515111275325
7583.063	50	18.5442192047	0.055665054308
7682.063	50	18.667604919	0.063325774718
7774.063	50	18.5645120619	0.0579117333375
11036.063	500	18.8713334904	0.063901145032
11526.063	500	18.8813477761	0.0624978500875
11993.063	500	19.1583906333	0.080167346742
12649.063	500	19.1522977761	0.079872314831
13207.063	500	19.1768834904	0.0834078643355
13696.063	500	19.3206406333	0.0911759131335
14194.063	500	19.1667906333	0.0826188427965
14689.063	500	19.1764334904	0.087017651254
15178.063	500	19.1773334904	0.0868633725905
15649.063	500	19.168504919	0.086068881036
16143.063	500	19.2719334904	0.096241261462
16706.063	500	19.2267834904	0.0990041739805
17835.063	500	19.0828120619	0.0867437917445
18386.063	500	19.3455692047	0.108478861876
18923.063	500	19.3114406333	0.0987318690575
22620.063	500	19.505104919	0.145999799806
23194.063	500	19.3431120619	0.143295418536
