Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
23914.    -9. -9.     -9. 295.    white    18.351    0.110 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
24216.5   -9. -9.     -9. 80.     white    18.401    0.220 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
27572.     -9. -9.    -9. 886.    uvw1     18.518    0.120 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
28478.     -9. -9.    -9. 295.    u        18.350    0.100 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
28782.     -9. -9.    -9. 99.     u        18.460    0.210 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
40665.5    -9. -9.    -9. 396.    uvw1     19.158    0.260 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
40805.5    -9. -9.    -9. 197.    u        18.770    0.170 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
40876.5    -9. -9.    -9. 197.    b        19.809    0.190 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
40950.     -9. -9.    -9. 794.    uvw2     18.904    0.460 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
41224.     -9. -9.    -9. 197.    v        19.292    0.280 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
41295.5    -9. -9.    -9. 527.    uvm2     18.846    0.540 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
56745.     -9. -9.    -9. 375.    uvw1     19.308    0.260 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
56883.5    -9. -9.    -9. 187.    u        19.300    0.210 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
56954.      -9. -9.   -9. 187.    b        19.979    0.220 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
57027.      -9. -9.   -9. 753.    uvw2     19.794    0.270 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
57300.5     -9. -9.   -9. 187.    v        19.862  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
57373.      -9. -9.   -9. 502.    uvm2     18.946    0.330 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
74085.      -9. -9.   -9. 474.    uvw1     19.488    0.220 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
74223.5     -9. -9.   -9. 237.    u        19.340    0.190 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
74295.      -9. -9.   -9. 237.    b        20.429    0.270 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
74366.5     -9. -9.   -9. 950.    uvw2     19.914    0.600 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
74640.      -9. -9.   -9. 237.    v        19.832    0.350 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
74711.      -9. -9.   -9. 648.    uvm2     19.236    0.370 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
91424.      -9. -9.   -9. 769.    uvw1     19.818    0.230 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
91682.5     -9. -9.   -9. 384.    u        19.620    0.180 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
91815.      -9. -9.   -9. 384.    b        20.559    0.230 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
91949.5     -9. -9.   -9. 1540.   uvw2     20.684    0.430 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
92463.      -9. -9.   -9. 384.    v        20.362  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
92594.5     -9. -9.   -9. 1086.   uvm2     19.976    0.600 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
108764.     -9. -9.   -9. 779.    uvw1     20.588    0.320 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
109034.     -9. -9.   -9. 389.    u        20.730    0.350 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
109170.     -9. -9.   -9. 387.    b        20.849    0.270 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
109308.     -9. -9.   -9. 1560.   uvw2     20.664    0.400 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
109844.     -9. -9.   -9. 389.    v        20.362  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
109980.     -9. -9.   -9. 1101.   uvm2     20.666    0.740 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
132510.    -9. -9.    -9. 9481.   uvw2     21.414    0.190 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
127458.    -9. -9.    -9. 7050.   uvw1     21.378    0.160 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
127602.    -9. -9.    -9. 3516.   u        21.670    0.260 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
127675.    -9. -9.    -9. 3520.   b        22.579  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
128032.    -9. -9.    -9. 3520.   v        21.482    0.340 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
128105.    -9. -9.    -9. 9880.   uvm2     21.706    0.210 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
300557.    -9. -9.    -9. 13506.  uvw2     22.904    0.310 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
299992.    -9. -9.    -9. 10151.  uvw1     22.848    0.360 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
300270.    -9. -9.    -9. 4937.   u        22.210    0.340 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
300413.    -9. -9.    -9. 4741.   b        22.779  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
301111.    -9. -9.    -9. 4674.   v        21.762  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
301253.     -9. -9.   -9. 12910.  uvm2     22.926    0.330 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
873826.     -9. -9.   -9. 11028.  v        22.162  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
907588.5    -9. -9.   -9. 6959.   b        23.179  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
1121855.    -9. -9.   -9. 9012.   white    22.471    0.220 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av 
907219.     -9. -9.   -9. 184470. u        23.710    0.230 -9.   -9.  -9. UVOT mangano07 0 NNN 0.07 0. 2 Ext_Gal=Av  
907961.5    -9. -9.   -9. 17548.  uvw1     23.238  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
4274707.    -9. -9.   -9. 5773.   uvm2     22.696  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av 
4281264.    -9. -9.   -9. 3802.   uvw2     22.664  100.000 -9.   -9.  -9. UVOT mangano07 1 NNN 0.07 0. 2 Ext_Gal=Av   
-9. -9.   56160.0 1.d-3 -9.     IC	19.00  0.04 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9.  143424.0 1.d-3 -9.	IC      20.62  0.10 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9.  229824.0 1.d-3 -9.	IC      21.41  0.15 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9.  413856.0 1.d-3 -9.	IC      21.7   19.0 -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9.  585792.0 1.d-3 -9.	IC      21.9   19.1 -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9.  939168.0 1.d-3 -9.	IC      21.8   19.1 -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 1111968.0 1.d-3 -9.	IC      22.06  0.14 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9. 1280448.0 1.d-3 -9.	IC      22.04  0.15 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9. 1455840.0 1.d-3 -9.	IC      21.8   19.2 -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 1792800.0 1.d-3 -9.	IC      22.0   18.9 -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 2909088.0 1.d-3 -9.	IC      22.13  0.13 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9. 3075840.0 1.d-3 -9.	IC      22.31  0.21 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9. 3519072.0 1.d-3 -9.	IC      22.09  0.14 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9.   56160.0 1.d-3 -9.	J       18.39  0.11 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9.  143424.0 1.d-3 -9.	J       19.43  0.19 -9.	-9. -9. CTIO1.3m cobb06 0 NNN 0. 0. 0 nnn 
-9. -9.  229824.0 1.d-3 -9.	J       19.1   100. -9.	-9. -9.	CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 1111968.0 1.d-3 -9.	J       19.8   100. -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 1280448.0 1.d-3 -9.	J       18.9   100. -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 2909088.0 1.d-3 -9.	J       19.9   100. -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 3075840.0 1.d-3 -9.	J       19.6   100. -9.	-9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
-9. -9. 3519072.0 1.d-3 -9.	J       20.0   100. -9. -9. -9. CTIO1.3m cobb06 1 NNN 0. 0. 0 nnn 
   58335.84 -9. -9. -9. 300.  RC  19.43 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   64133.28 -9. -9. -9. 300.  RC  19.56 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   68660.64 -9. -9. -9. 300.  RC  19.61 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   72609.12 -9. -9. -9. 300.  RC  19.70 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   77905.44 -9. -9. -9. 300.  RC  19.81 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   78233.76 -9. -9. -9. 300.  RC  19.83 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   78553.44 -9. -9. -9. 300.  RC  19.76 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
   78899.04 -9. -9. -9. 300.  RC  19.87 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
  151500.96 -9. -9. -9. 2700. RC  21.14 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
  247932.00 -9. -9. -9. 2700. RC  22.19 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
  317052.00 -9. -9. -9. 2700. RC  23.15 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
  403452.00 -9. -9. -9. 6600. RC  23.40 1.d-2   -9.  -9. -9.  D1.5 fynbo06 0 NNN 0. 0. 0 nnn 
