t	mag	dmag	band
570.9	15.987376	0.015614	r
690.6	15.345874	0.015441	r
784.1	15.510623	0.012534	r
973.7	16.933791	0.006527	r
1095.6	16.208364	0.023583	r
1213.4	16.063533	0.011522	r
1310.0	17.232063	0.007375	r
1477.5	17.410231	0.008761	r
1575.4	16.349213	0.01286	r
1681.5	16.836097	0.007216	r
1996.6	16.627216	0.008582	r
2087.7	16.69037	0.009333	r
2180.9	17.79765	0.010822	r
2484.2	16.98897	0.014631	r
2576.6	17.289749	0.025542	r
2669.0	18.069361	0.015802	r
2760.7	18.311969	0.01108	r
2860.7	17.400881	0.024819	r
2966.7	17.350151	0.039611	r
3269.2	17.666285	0.028083	r
3446.0	17.284964	0.012656	r
3635.6	18.457847	0.016341	r
3736.2	17.404928	0.017681	r
3850.3	17.512406	0.013592	r
4274.8	17.595933	0.017785	r
4376.6	18.661853	0.022268	r
4466.4	18.907818	0.016093	r
4562.8	17.699567	0.019547	r
4661.6	18.024322	0.022618	r
4940.9	18.900403	0.01726	r
5042.2	17.816292	0.021886	r
5143.9	17.7436	0.016828	r
5529.1	17.889574	0.021736	r
5638.4	18.051146	0.025173	r
6424.8	18.35439	0.028521	r
6593.6	18.47089	0.024627	r
6877.7	19.389948	0.024769	r
6980.4	18.386903	0.033352	r
7098.0	18.134248	0.025968	r
7295.1	19.32855	0.027888	r
7397.8	18.198438	0.028618	r
7495.0	18.166255	0.027464	r
7605.5	19.023178	0.032837	r
7796.5	18.648896	0.027683	r
7887.6	18.712894	0.039431	r
8236.2	18.389658	0.031597	r
8325.7	18.419671	0.03391	r
8615.1	18.329176	0.0333	r
8731.2	18.399563	0.034451	r
8925.4	19.553336	0.036807	r
9096.8	18.813073	0.039412	r
9276.9	18.658757	0.047003	r
9576.6	18.42182	0.035227	r
9669.4	18.523938	0.036981	r
9839.0	19.591939	0.043115	r
5204.95	17.223949	0.00225	r
690.6	15.092134	0.00631	i
784.1	15.267503	0.007804	i
880.6	16.041645	0.009898	i
1095.6	15.64437	0.011597	i
1213.4	15.794986	0.007975	i
1310.0	16.993024	0.007004	i
1477.5	17.612895	0.014942	i
1575.4	16.165255	0.008546	i
1996.7	16.472339	0.010482	i
2087.7	16.520451	0.008832	i
2180.9	17.173897	0.013952	i
2484.2	16.735479	0.014965	i
2576.6	16.817535	0.010413	i
2669.0	17.911876	0.009624	i
2860.7	16.934248	0.012191	i
2966.7	16.983005	0.011809	i
3061.9	17.694538	0.015453	i
3269.2	17.058517	0.016536	i
3446.0	17.177434	0.012555	i
3736.2	17.235139	0.012267	i
3850.3	17.299	0.013077	i
4164.7	17.433439	0.013615	i
4274.8	17.408869	0.014157	i
4562.8	17.521052	0.014341	i
4661.6	17.549013	0.013709	i
4777.0	18.182479	0.016691	i
5042.3	17.627491	0.015307	i
5529.1	17.713183	0.015901	i
5638.4	17.72127	0.016328	i
6424.8	17.899048	0.018516	i
6593.6	17.962218	0.020189	i
6980.4	17.989031	0.020836	i
7098.0	18.02692	0.021388	i
7202.1	19.038267	0.020669	i
7397.8	18.061575	0.023239	i
7495.0	18.103315	0.02366	i
7699.2	19.152165	0.024276	i
7796.5	18.088337	0.02367	i
7887.7	18.324095	0.030093	i
8236.2	18.201722	0.026436	i
8325.7	18.365635	0.026787	i
8615.2	18.196049	0.026851	i
8731.2	18.189159	0.025702	i
9096.8	18.504412	0.028887	i
9276.9	18.376822	0.03063	i
9576.6	18.283414	0.02961	i
9669.4	18.220982	0.031404	i
5180.0	16.851062	0.007517	i
564.55	14.622086	0.021752	Z
874.2	15.23702	0.022301	Z
967.3499999999999	15.385576	0.023685	Z
1303.65	15.754046	0.027526	Z
1471.15	15.822769	0.014651	Z
1800.25	16.194325	0.017641	Z
1894.05	16.20607	0.021589	Z
2174.55	16.429328	0.026566	Z
2374.05	16.503418	0.024101	Z
2662.6499999999996	16.69568	0.028442	Z
2754.3500000000004	16.695374	0.026955	Z
3055.55	16.827285	0.024682	Z
3167.05	16.898553	0.026312	Z
3540.8	17.029735	0.028093	Z
3629.25	17.006435	0.031987	Z
3938.8	17.192253	0.029705	Z
4063.55	17.156036	0.02566	Z
4370.15	17.349335	0.039034	Z
4460.05	17.332128	0.028643	Z
4770.65	17.40931	0.029611	Z
4934.55	17.422512	0.028654	Z
5254.1	17.474158	0.033174	Z
5420.85	17.566359	0.036243	Z
5725.35	17.735777	0.03859	Z
6316.65	17.824561	0.038867	Z
6683.95	17.797622	0.046249	Z
6871.25	17.793796	0.049497	Z
7195.700000000001	17.868255	0.046202	Z
7288.75	17.785688	0.043144	Z
7599.1	17.999657	0.054267	Z
7692.799999999999	17.894148	0.047569	Z
8008.5	17.921459	0.048344	Z
8134.75	18.025517	0.053692	Z
8422.2	17.964948	0.050784	Z
8514.45	18.028706	0.051538	Z
8827.75	18.066447	0.053959	Z
8919.05	18.10068	0.056462	Z
9474.150000000001	18.113361	0.053904	Z
9832.650000000001	18.442466	0.069314	Z
5198.6	16.67382	0.008117	Z
684.25	14.749493	0.007072	Y
777.75	14.912437	0.00699	Y
1089.25	15.364936	0.008768	Y
1207.05	15.506283	0.009564	Y
1569.05	15.860913	0.010877	Y
1675.15	15.929784	0.010756	Y
2081.25	16.214074	0.014047	Y
2960.3500000000004	16.637934	0.017822	Y
3262.8500000000004	16.749326	0.021768	Y
3729.8500000000004	16.986684	0.022957	Y
3843.95	16.993639	0.023424	Y
4268.45	17.197334	0.026162	Y
4655.25	17.31158	0.02826	Y
5522.65	17.451739	0.033583	Y
5632.05	17.444314	0.037231	Y
6418.4	17.658733	0.043833	Y
6587.15	17.659432	0.042508	Y
7091.65	17.655277	0.045068	Y
7391.35	17.787408	0.052229	Y
7488.55	17.752554	0.049711	Y
7790.15	17.736127	0.050306	Y
8229.849999999999	17.915852	0.057618	Y
8319.3	17.914482	0.056682	Y
8608.75	18.161564	0.07827	Y
8724.849999999999	17.995706	0.060926	Y
9090.45	17.939548	0.066587	Y
9570.25	18.018121	0.064918	Y
9663.1	18.082287	0.07773	Y
5198.6	16.523078	0.010819	Y
5567.150000000001	17.815136	999.0	J
3729.8500000000004	16.858935	0.034589	H
4655.25	17.302185	0.061854	H
5567.150000000001	19.18387	0.028101	H
