time	flux	flux_err1	flux_err2	band
11119.68	5.040869e-17	3.714249e-18	3.714249e-18	R
12277.44	4.682792e-17	3.450408e-18	3.450408e-18	R
97001.28	7.629652e-18	5.621735e-19	5.621735e-19	R
185889.60	2.770162e-18	3.061696e-19	3.061696e-19	R
272419.20	2.821659e-18	7.276763e-19	7.276763e-19	R
445115.52	1.494533e-18	2.890683e-19	2.890683e-19	R
788564.16	1.68463e-17	1.396442e-18	1.396442e-18	R
532025.28	1.594063e-18	1.96E-18	1.96E-18	R
702198.72	1.350532e-18	1.96E-18	1.96E-18	R
97986.24	7.153274e-18	1.515334e-18	1.515334e-18	I
183522.24	2.57339e-18	8.295628e-19	8.295628e-19	I
529260.48	1.764026e-17	2.762038e-18	2.762038e-18	I
269974.08	3.180575e-18	1.96E-18	1.96E-18	I
442713.60	1.988406e-18	1.96E-18	1.96E-18	I
184697.28	3.392388e-18	1.249802e-18	1.249802e-18	z
530677.44	1.830227e-17	6.742804e-18	6.742804e-18	z
271166.40	3.210002e-18	1.96E-18	1.96E-18	z
443897.28	2.795798e-18	1.96E-18	1.96E-18	z
