#T_start(s)        Mag		err	Filter         
  82        18.55	0.06		white          
    573        19.23	0.11		white          
    294        19.43	0.19		u              
    623       18.3	0		v              
    549        18.92	0.26		b              
    672       18.1	0		uvw1           
   4617       20.7	0		uvm2           
   5644       21.0	0		uvw2           
