time(s)	erg/cm2/s	err
1515.604494	1.31E-13	1.91E-14
1525.797503	1.23E-13	2.14E-14
1557.704869	1.54E-13	9.61E-15
1578.294036	1.54E-13	9.93E-15
1612.359551	1.37E-13	1.21E-14
1632.940361	1.32E-13	1.85E-14
1663.424719	1.37E-13	1.56E-14
1678.768539	1.09E-13	1.05E-14
1709.743412	9.93E-14	1.64E-14
1820.431461	1.25E-13	1.00E-14
1840.984743	1.26E-13	1.04E-14
1841.7701	1.60E-13	8.20E-14
1875.433708	1.02E-13	8.13E-15
1895.977809	9.84E-14	1.34E-14
1941.704869	9.29E-14	1.05E-14
1972.642164	8.48E-14	1.51E-14
2019.280899	1.06E-13	1.03E-14
2085.345318	9.86E-14	9.53E-15
2105.859917	9.90E-14	1.00E-14
2112.621359	1.07E-13	1.10E-14
2141.108614	1.08E-13	6.74E-15
2161.615811	1.04E-13	1.30E-14
2208.14382	1.13E-13	9.96E-15
2239.042996	1.03E-13	1.65E-14
2243.6994	1.01E-13	5.26E-14
2362.810487	7.20E-14	8.16E-15
2393.68932	7.24E-14	8.66E-15
2436.710112	1.09E-13	8.71E-15
2467.57975	1.10E-13	9.08E-15
2511.478652	9.24E-14	7.38E-15
2542.337032	9.28E-14	7.69E-15
2587.703371	6.65E-14	5.32E-15
2618.550624	6.45E-14	8.89E-15
2661.950562	6.84E-14	6.63E-15
2692.787795	6.63E-14	9.91E-15
2735.955056	7.10E-14	6.28E-15
2766.782247	6.87E-14	9.85E-15
2977.52809	7.36E-14	2.02E-15
2982.940361	4.20E-14	8.46E-15
3139.268914	7.12E-14	9.81E-15
3232.454924	6.95E-14	8.22E-15
3405.117603	6.39E-14	3.46E-15
3481.40824	6.27E-14	4.48E-15
3915.423	5.31E-14	2.74E-14
5986.7285	3.78E-14	2.55E-14
10629.0345	3.38E-14	2.39E-14
15095.99101	1.93E-14	1.02E-14
21894.0544	1.88E-14	1.22E-14
27902.7748	8.56E-15	8.77E-15
28583.31985	4.89E-15	7.26E-16
28691.74757	5.29E-15	7.80E-16
31148.5633	3.82E-15	1.01E-15
31955.6172	4.09E-15	1.24E-15
222431.5684	1.25E-15	3.08E-15
378331.9551	5.69E-16	1.19E-16
386021.8447	7.17E-16	1.32E-16
438257.0487	3.16E-16	1.36E-16
443298.1969	7.98E-16	1.29E-16
1.19E+07	4.01E-16	9.24E-17
