time_sec	flux_R	flux_err_R	band	source
8.30E+02	2.107220849518362e-12	5.246426305373546e-13	R	Li_Liang
7.20E+03	9.73072664541987e-13	1.3509118662503339e-13	R	Li_Liang
5.80E+02	1.109990700432026e-12	3.084202980522899e-13	R	Li_Liang
7.54E+02	2.305172560716623e-12	4.0701175175125314e-13	R	Li_Liang
7.28E+02	2.7748466277993994e-12	4.746165502654282e-13	R	Li_Liang
1.31E+03	2.746531866291242e-12	4.702076891948822e-13	R	Li_Liang
1.46E+03	1.6568523208440367e-12	4.392299870111478e-13	R	Li_Liang
1.66E+04	8.47613041281447e-13	2.2487095763927276e-13	R	Li_Liang
7.35E+03	0.07073278050211111	0.005192464347124153	R	Li_Liang
5.16E+04	0.01965820133435296	0.0014431004808890503	R	Li_Liang
6.99E+03	1.1812887634148674e-12	3.6485899948937536e-13	R	Li_Liang
5.74E+04	1.6012599309276204e-13	7.489516183706646e-14	R	Li_Liang
