63.3047	3.7125	5.7640356020228747e-11	6.758647053930105e-12	-2.557371453435568e-12	0.3463	0.683
74.4541	7.4287	4.998242055633336e-11	5.683020336184684e-12	-1.6930925195928678e-12	0.3463	0.683
89.3196	7.4287	4.190205793523167e-11	4.777024856605367e-12	-1.461585182476724e-12	0.3463	0.683
104.1852	7.4287	3.6371191259748137e-11	4.159675152993259e-12	-1.3111463672700265e-12	0.3463	0.683
122.6609	11.0386	3.0609566027510334e-11	3.466689046739864e-12	-9.901459303323756e-13	0.3463	0.683
152.9782	14.8616	2.5672813431749718e-11	3.623017983427526e-12	-2.315579303838375e-12	0.3463	0.683
186.4262	18.5781	2.0632829267465564e-11	2.9818819881494294e-12	-1.9688993219015675e-12	0.3463	0.683
227.3071	22.2945	1.8048589060959678e-11	2.6462047105342074e-12	-1.7790254510508804e-12	0.3463	0.683
275.6208	26.011	1.1664869009160813e-11	1.974731926825576e-12	-1.5154622195240429e-12	0.3463	0.683
323.6806	22.0406	9.913195876307254e-12	1.945794707947661e-12	-1.6212479492250416e-12	0.3463	0.683
3402.1414	302.1985	2.8026188569358805e-12	3.355601142584571e-13	-1.4166785980718444e-13	0.3463	0.683
4086.0547	378.2645	2.439379432202587e-12	2.820485203721001e-13	-9.721923501025373e-14	0.3463	0.683
4629.1697	161.4578	2.2763775097864883e-12	3.198015362615256e-13	-2.0304803822168467e-13	0.3463	0.683
8181.0579	784.2364	1.6208410728406422e-12	1.8355652916610224e-13	-5.2388274226558573e-14	0.3463	0.683
9123.0397	155.3772	1.3349113565075133e-12	3.8018263077925447e-13	-3.514916679748296e-13	0.3463	0.683
12668.1942	928.9435	1.1028224630932488e-12	1.389172902389304e-13	-7.050225109180695e-14	0.3463	0.683
16946.2678	949.349	1.174529632797233e-12	1.3786654795304025e-13	-5.2497129636206794e-14	0.3463	0.683
21243.6816	949.3982	1.1996313494232572e-12	1.4452025498368091e-13	-6.271224057119552e-14	0.3463	0.683
27302.1873	2707.8268	9.555551534420167e-13	1.1363940252919015e-13	-4.644833701653986e-14	0.3463	0.683
32548.6683	2536.294	7.770537970717208e-13	9.498758194910844e-14	-4.369803372864206e-14	0.3463	0.683
40578.9759	3100.8504	6.318392959431407e-13	7.669772158292845e-14	-3.434498947029604e-14	0.3463	0.683
51014.3779	4941.7005	4.811821308442918e-13	5.845261761903241e-14	-2.6251312831380233e-14	0.3463	0.683
64092.4235	5128.0054	3.192642890146903e-13	4.1834092537094166e-14	-2.343765612111573e-14	0.3463	0.683
79254.4563	7399.0019	2.5828928279030925e-13	3.357207345693666e-14	-1.8470994915737485e-14	0.3463	0.683
97948.1079	8895.6883	2.0302428601390432e-13	2.739894921331437e-14	-1.628280945995171e-14	0.3463	0.683
141468.3325	13751.4606	7.762464350314729e-14	1.485529112113632e-14	-1.2235039159246815e-14	0.3463	0.683
175989.9028	17557.1173	8.496117857700987e-14	1.6113337989999372e-14	-1.3213789888012445e-14	0.3463	0.683
219002.6493	21886.0744	4.294934922770438e-14	1.3103539169297304e-14	-1.2246308143924684e-14	0.3463	0.683
266706.2562	25813.2577	2.903366562296018e-14	1.1234943397121596e-14	-1.078396033450757e-14	0.3463	0.683
328742.029	32821.2239	1.6033879931684722e-14	9.042019216115418e-15	-8.872967404004585e-15	0.3463	0.683
405552.5105	40330.7992	2.8380192326214805e-14	9.589202980725705e-15	-9.080997334668029e-15	0.3463	0.683
498188.0609	48148.1109	1.1025018615442847e-14	7.810024152189604e-15	-7.717808069444753e-15	0.3463	0.683
610326.5607	60617.8295	1.000440967979106e-15	9.039533222709165e-15	-9.038881368396987e-15	0.3463	0.683
712990.9964	39555.107	1.0574864217297572e-14	9.441718812352314e-15	-9.37169559962146e-15	0.3463	0.683
919596.2121	86444.4333	3.209382338464236e-15	6.207466953732734e-15	-6.19768594368577e-15	0.3463	0.683
1.1343629444e6	112248.3519	8.88716547260156e-15	4.920401916763456e-15	-4.8249276275791355e-15	0.3463	0.683
1.3877376293e6	138127.7126	-3.728092212016539e-15	3.8563765015805455e-15	-3.83508898477791e-15	0.3463	0.683
1.696815811e6	168468.8825	3.9532237322818576e-15	3.8867495041395346e-15	-3.862994100994874e-15	0.3463	0.683
2.0731582708e6	204545.3693	7.57159352581012e-16	3.232415589282659e-15	-3.2313707051646066e-15	0.3463	0.683
2.562075731e6	256086.9781	-1.6220680927223914e-15	4.450966690580489e-15	-4.447483743520315e-15	0.3463	0.683
3.0393046051e6	217126.1192	1.8553403360399745e-15	3.8791477325283855e-15	-3.873917986331e-15	0.3463	0.683
