Tstart(s)          Tend(s)    ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  LowerL   
    132.0      -9.0    10.000    -9.000 v  57.83  -9.00   0.17   0.15  -9.00 UVOT oates09 0 0
    157.0      -9.0    15.000    -9.000 v  58.00  -9.00   0.13   0.12  -9.00 UVOT oates09 0 0
    187.0      -9.0    15.000    -9.000 v  58.01  -9.00   0.14   0.12  -9.00 UVOT oates09 0 0
    208.1      -9.0     6.134    -9.000 v  58.11  -9.00   0.23   0.19  -9.00 UVOT oates09 0 0
   3752.7      -9.0   308.405    -9.000 v  60.59  -9.00   0.24   0.20  -9.00 UVOT oates09 0 0
   5424.6      -9.0   449.500    -9.000 v  60.75  -9.00   0.12   0.11  -9.00 UVOT oates09 0 0
  10912.6      -9.0   868.500    -9.000 v  60.89  -9.00   0.13   0.12  -9.00 UVOT oates09 0 0
  16238.6      -9.0  1327.500    -9.000 v  61.51  -9.00   0.16   0.14  -9.00 UVOT oates09 0 0
  22527.6      -9.0   822.500    -9.000 v  61.31  -9.00   0.20   0.17  -9.00 UVOT oates09 0 0
  26680.1      -9.0   199.000    -9.000 v  60.50  -9.00   0.25   0.20  -9.00 UVOT oates09 0 0
  54320.6      -9.0  3735.500    -9.000 v  62.64  -9.00   0.30   0.23  -9.00 UVOT oates09 0 0
  62188.6      -9.0   892.500    -9.000 v  62.64  -9.00   0.71   0.43  -9.00 UVOT oates09 0 0
  85102.6      -9.0  6440.500    -9.000 v  62.31  -9.00   0.20   0.17  -9.00 UVOT oates09 0 0
 105707.1      -9.0  9536.000    -9.000 v  62.75 100.00  -9.00  -9.00  -9.00 UVOT oates09 1 0
 131746.1      -9.0 12177.000    -9.000 v  62.78 100.00  -9.00  -9.00  -9.00 UVOT oates09 1 0
 163876.1      -9.0 15387.000    -9.000 v  62.94 100.00  -9.00  -9.00  -9.00 UVOT oates09 1 0
 187597.1      -9.0  3426.000    -9.000 v  63.12  -9.00   0.73   0.43  -9.00 UVOT oates09 0 0
 263168.1      -9.0 20315.000    -9.000 v  63.37  -9.00   0.11   0.10  -9.00 UVOT oates09 0 0
 363414.1      -9.0 12709.000    -9.000 v  64.14  -9.00   0.19   0.17  -9.00 UVOT oates09 0 0
 449574.1      -9.0 12109.000    -9.000 v  63.95  -9.00   0.19   0.16  -9.00 UVOT oates09 0 0
 667353.6      -9.0 66438.500    -9.000 v  63.32  -9.00   0.17   0.15  -9.00 UVOT oates09 0 0
 747679.1      -9.0 13883.000    -9.000 v  62.52  -9.00   0.25   0.21  -9.00 UVOT oates09 0 0
