Time	Mag	MagErr	Band	GCN
143424.	23.01    0.17	r	arXiv1608.08626
228960.	23.53    0.26	r	arXiv1608.08626
229824.	>22.3	? J		arXiv1608.08626
230688.	>21.4	? H		arXiv1608.08626
231552.	>21.5	? K		arXiv1608.08626
235008.00000000003	>20.5	? Y	arXiv1608.08626
831167.9999999999	>21.7	? J	arXiv1608.08626
924479.9999999999	>24.2	? r	arXiv1608.08626
1.257984e6	>22.4	? J	arXiv1608.08626
1.267488e6	>23.4	? H	arXiv1608.08626
1.269216e6	>23.6	? Y	arXiv1608.08626
1.718496e6	>22.4	? J	arXiv1608.08626
1.721952e6	>22.2	? K	arXiv1608.08626
2.494368e6	>23.0	? J	arXiv1608.08626
2.49696e6	>22.4	? K	arXiv1608.08626
3.5164800000000005e6	>25.3	? F160W	arXiv1608.08626
3.519936e6	>25.1	? F606W	arXiv1608.08626
3.769632e6	>23.9	? H	arXiv1608.08626
4.180896e6	>24.6	? r	arXiv1608.08626
147350		18.44	0.3	White	17268
831168		>20.8	?	J	17326
1.25798e6	>21.5	?	J	17326
