#time	flux			flux_err	band
357.00	7.970105554481007e-13	0.0	v
456.00	5.390811373539646e-13	0.0	b
432.00	3.9876840340367895e-13	0.0	u
407.00	2.336389918964406e-13	0.0	uvw1
382.00	3.20475321993281e-13	0.0	uvm2
506.00	2.5220088977619065e-13	0.0	uvw2
4050.00	1.776086336099999e-13	0.0	v
10740.00	1.6198099901551192e-13	2.6004431765551927e-14	v
4870.00		1.4049282198524727e-13	0.0	b
17436.00	2.441485424793013e-13	2.953647618855426e-14	b
4665.00		9.565787731495868e-14	0.0	u
16524.00	5.1135291908145174e-14	1.0889475707009756e-14	u
4460.00		5.3523600896082915e-14	0.0	uvw1
15618.00	1.646437782298934e-14	0.0	uvw1
4255.00		6.050546355221633e-14	0.0	uvm2
21399.00	2.0979473867265986e-14	0.0	uvm2
5281.00		8.198730565554374e-14	0.0	uvw2
29001.00	5.777588603875274e-14	0.0	uvw2
