z=   8.4500003e-01 0.
TotalEnergy(erg)    7.0265212737194560e+06    2.3317356592479697e+04
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    8.9697631509817634e+06    1.8563376577135328e+04
Energy2(erg)    6.1139137513132673e+06    3.2471434498144190e+04
T_min_T_max    2.4384823470105476e+02    5.3687262040105752e+03
Interval1    2.4384823470105476e+02    1.8815403997025974e+03
Interval2    1.8815403997025974e+03    5.3687262040105752e+03
