time	flux	flux_err1	flux_err2	band
1320.19	2.2472287805605943e-13	5.4253142166714934e-14	5.4253142166714934e-14	R
1466.21	2.464037359630135e-13	5.948738745805945e-14	5.948738745805945e-14	R
2240.35	1.8691634850495403e-13	4.5125798122756544e-14	4.5125798122756544e-14	R
3011.90	1.5547024691322165e-13	3.753400402060182e-14	3.753400402060182e-14	R
3786.05	1.417905503821975e-13	3.423141851121661e-14	3.423141851121661e-14	R
4559.33	8.946378914153654e-14	2.1598564921627695e-14	2.1598564921627695e-14	R
5332.61	6.786522421990884e-14	1.638418700235846e-14	1.638418700235846e-14	R
6105.89	5.148103721755038e-14	1.2428676845073791e-14	1.2428676845073791e-14	R
8426.59	1.0755913187098088e-13	2.5967186444048192e-14	2.5967186444048192e-14	R
10081.15	5.148103721755038e-14	1.2428676845073791e-14	1.2428676845073791e-14	R
11735.71	3.561617596213177e-14	8.598543568965208e-15	8.598543568965208e-15	R
57809.38	2.2890078828663762e-14	4.7078429199916095e-15	4.7078429199916095e-15	R
833.76	3.905236037247659e-13	9.428115541957573e-14	9.428115541957573e-14	R
1200.10	3.2482338533871636e-13	7.841964937570288e-14	7.841964937570288e-14	R
1320.19	2.2472287805605943e-13	5.4253142166714934e-14	5.4253142166714934e-14	R
1466.21	2.464037359630135e-13	5.948738745805945e-14	5.948738745805945e-14	R
2240.35	1.8691634850495403e-13	4.5125798122756544e-14	4.5125798122756544e-14	R
3011.90	1.5547024691322165e-13	3.753400402060182e-14	3.753400402060182e-14	R
3786.05	1.417905503821975e-13	3.423141851121661e-14	3.423141851121661e-14	R
4559.33	8.946378914153654e-14	2.1598564921627695e-14	2.1598564921627695e-14	R
5332.61	6.786522421990884e-14	1.638418700235846e-14	1.638418700235846e-14	R
6105.89	5.148103721755038e-14	1.2428676845073791e-14	1.2428676845073791e-14	R
8426.59	1.0755913187098088e-13	2.5967186444048192e-14	2.5967186444048192e-14	R
10081.15	5.148103721755038e-14	1.2428676845073791e-14	1.2428676845073791e-14	R
11735.71	3.561617596213177e-14	8.598543568965208e-15	8.598543568965208e-15	R
57809.38	2.2890078828663762e-14	4.7078429199916095e-15	4.7078429199916095e-15	R
