z=   1.5100000e+00 0.
Total_Energy(erg)    1.3864180923064597e+05    4.4595871146090656e+04
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    1.4331075751662067e+03    4.3884462318133401e+03
