time_sec	flux	flux_err	band
62.09082	5.896251315678267e-12	1.0057017315672066e-12	R
68.23814	6.241198366589361e-12	1.0645380714426521e-12	R
82.41889	7.401913169537204e-12	1.2625168930163475e-12	R
94.95688	5.570369268143647e-12	6.33411492433577e-13	R
114.69012	6.241198366589361e-12	7.096920476284348e-13	R
138.52417	6.992814152175379e-12	7.95158926674917e-13	R
167.31125	5.896251315678267e-12	1.0057017315672066e-12	R
202.08064	5.570369268143647e-12	9.501172386503655e-13	R
232.8222	6.241198366589361e-12	7.096920476284348e-13	R
281.20559	6.606325776437304e-12	1.1268165003404006e-12	R
323.98405	3.154801118740224e-12	1.0761764093591333e-12	R
3597.64351	1.3446212986887623e-12	1.5289804724997274e-13	R
4555.30633	1.2001070476645902e-12	1.3646520716114205e-13	R
5248.28322	8.060834158093319e-13	1.374906603643977e-13	R
8820.96455	7.615316998183355e-13	1.298916393054927e-13	R
10162.85556	6.421137741216415e-13	7.301531090668391e-14	R
14825.68915	4.56524391380309e-13	5.191178217398476e-14	R
19679.50827	3.0663942096756405e-13	5.230234942900663e-14	R
24918.02993	3.4356426558192546e-13	3.906698887156818e-14	R
33076.00551	1.838247509116455e-13	3.1354306388734e-14	R
39949.61737	1.6406652746113002e-13	1.865614630108377e-14	R
48251.65261	1.6406652746113002e-13	9.328073150541885e-15	R
64048.88078	9.291974005067842e-14	3.16970954562912e-14	R
77359.04745	8.778412531465416e-14	1.4973012869771928e-14	R
93435.23493	3.5347278863179415e-14	1.2057783110836007e-14	R
118306.9185	9.291974005067842e-14	1.0565983759574783e-14	R
157039.7138	7.834873451568236e-14	1.3363653234895568e-14	R
208453.335	5.26249851341517e-14	1.795161260969254e-14	R
