read serr 1
read terr 2
log x
ma 17 on 2
ma 31 on 3
     95.7010     8.1100  8.49832e+01   3.81517e-01 -2.81756e-01 no
    113.8110    10.0000  8.48298e+01   2.82793e-01 -2.24148e-01 no
    133.8110    10.0000  8.55617e+01   5.41763e-01 -3.59762e-01 no
    158.8110    15.0000  8.54941e+01   3.84150e-01 -2.83183e-01 no
    188.8110    15.0000  8.59020e+01   5.61379e-01 -3.68203e-01 no
    223.8110    20.0000  8.55377e+01   3.42060e-01 -2.59720e-01 no
    265.5895    21.7785  8.64116e+01   7.47712e-01 -4.38602e-01 no
    393.6400    99.5000 no         no         no          8.50608e+01
    532.6400    33.5000  8.69808e+01   7.15440e-01 -4.27562e-01 no
    687.6400    45.5000 no         no         no          8.60688e+01
    896.9755    86.8355  8.71098e+01   7.17983e-01 -4.28448e-01 no
   1010.0190    26.2080 no         no         no          8.57934e+01
   1154.6400   111.5000 no         no         no          8.60529e+01
   1436.6400   141.5000 no         no         no          8.66252e+01
   1617.1400    34.0000  8.69139e+01   6.41078e-01 -4.00364e-01 no
   5477.1400   544.0000 no         no         no          8.83210e+01
   6843.1400   611.0000 no         no         no          8.86299e+01
  10997.6400    99.5000 no         no         no          8.69140e+01
  17844.1400   454.0000 no         no         no          8.79188e+01
  23173.1400   911.0000 no         no         no                 nan
  29794.1400   834.0000 no         no         no          8.92184e+01
  81887.6400  6230.5000 no         no         no          8.85519e+01
 101987.6400  8929.5000 no         no         no          8.93635e+01
 122177.1400  6381.0000 no         no         no          8.84294e+01
